component	icon
#campaign_payload_ui_details_tables;0;db/campaign_payload_ui_details_tables/foreign_warriors_event_payloads	
sw_foreign_warriors_120	pop_foreign_positive.png
sw_foreign_army	icon_effects_raiding.png
sw_foreign_crisis_level_down	war_fervour_2.png
sw_foreign_crisis_level_up	war_fervour_20.png
sw_foreign_plot_governor_2	icon_province.png
sw_foreign_warriors_80	pop_foreign_positive.png
sw_foreign_warriors_200	pop_foreign_positive.png
sw_foreign_warriors_120_lost	pop_foreign_negative.png
sw_foreign_warriors_80_lost	pop_foreign_negative.png
sw_foreign_warriors_200_lost	pop_foreign_negative.png
sw_foreign_settlement_sack	icon_effects_raiding.png
sw_foreign_oaths_1	attrition.png
sw_foreign_settlers_drive_out_1	vik_religion_banditry.png
sw_foreign_plot_governor_1	supplies.png
sw_foreign_settlers_drive_out_here_king_2	abbey.png
sw_foreign_settlers_drive_out_2	icon_province.png
sw_foreign_settlers_drive_out_here_king_1	icon_pagan.png
sw_foreign_oaths_2	icon_province.png
