id	incident_key	payload_key	value
#cdir_events_incident_payloads_tables;2;db/cdir_events_incident_payloads_tables/@adjusted_vanilla_events_costs			
12866	vik_sea_king_expedition_south_raid_1_1	TREASURY	AMOUNT[500]
12875	vik_sea_king_expedition_south_raid_1_2	TREASURY	AMOUNT[250]
12885	vik_sea_king_expedition_south_raid_1_3	TREASURY	AMOUNT[-250]
12890	vik_sea_king_expedition_south_raid_2_1	TREASURY	AMOUNT[500]
12894	vik_sea_king_expedition_south_raid_2_2	TREASURY	AMOUNT[250]
12896	vik_sea_king_expedition_south_raid_2_3	TREASURY	AMOUNT[-250]
12903	vik_sea_king_expedition_south_raid_3_1	TREASURY	AMOUNT[500]
12913	vik_sea_king_expedition_south_raid_3_2	TREASURY	AMOUNT[250]
12918	vik_sea_king_expedition_south_raid_3_3	TREASURY	AMOUNT[-250]
12923	vik_sea_king_expedition_south_raid_4_1	TREASURY	AMOUNT[500]
12931	vik_sea_king_expedition_south_raid_4_2	TREASURY	AMOUNT[250]
12937	vik_sea_king_expedition_south_raid_4_3	TREASURY	AMOUNT[-250]
12944	vik_sea_king_expedition_south_raid_5_1	TREASURY	AMOUNT[500]
12953	vik_sea_king_expedition_south_raid_5_2	TREASURY	AMOUNT[250]
12954	vik_sea_king_expedition_south_raid_5_3	TREASURY	AMOUNT[-250]
12962	vik_sea_king_expedition_south_raid_6_1	TREASURY	AMOUNT[500]
12968	vik_sea_king_expedition_south_raid_6_2	TREASURY	AMOUNT[250]
12976	vik_sea_king_expedition_south_raid_6_3	TREASURY	AMOUNT[-250]
12985	vik_sea_king_expedition_south_raid_7_1	TREASURY	AMOUNT[500]
12993	vik_sea_king_expedition_south_raid_7_2	TREASURY	AMOUNT[250]
12999	vik_sea_king_expedition_south_raid_7_3	TREASURY	AMOUNT[-250]
13006	vik_sea_king_expedition_south_raid_8_1	TREASURY	AMOUNT[500]
13013	vik_sea_king_expedition_south_raid_8_2	TREASURY	AMOUNT[250]
13022	vik_sea_king_expedition_south_raid_8_3	TREASURY	AMOUNT[-250]
13029	vik_sea_king_expedition_south_raid_9_1	TREASURY	AMOUNT[500]
13036	vik_sea_king_expedition_south_raid_9_2	TREASURY	AMOUNT[250]
13037	vik_sea_king_expedition_south_raid_9_3	TREASURY	AMOUNT[-250]
13045	vik_sea_king_expedition_west_raid_1_1	TREASURY	AMOUNT[500]
13049	vik_sea_king_expedition_west_raid_1_2	TREASURY	AMOUNT[250]
13051	vik_sea_king_expedition_west_raid_1_3	TREASURY	AMOUNT[-250]
13061	vik_sea_king_expedition_west_raid_2_1	TREASURY	AMOUNT[500]
13068	vik_sea_king_expedition_west_raid_2_2	TREASURY	AMOUNT[250]
13073	vik_sea_king_expedition_west_raid_2_3	TREASURY	AMOUNT[-250]
13079	vik_sea_king_expedition_west_raid_3_1	TREASURY	AMOUNT[500]
13083	vik_sea_king_expedition_west_raid_3_2	TREASURY	AMOUNT[250]
13088	vik_sea_king_expedition_west_raid_3_3	TREASURY	AMOUNT[-250]
13089	vik_sea_king_expedition_west_raid_4_1	TREASURY	AMOUNT[500]
13095	vik_sea_king_expedition_west_raid_4_2	TREASURY	AMOUNT[250]
13098	vik_sea_king_expedition_west_raid_4_3	TREASURY	AMOUNT[-250]
13107	vik_sea_king_expedition_west_raid_5_1	TREASURY	AMOUNT[500]
13111	vik_sea_king_expedition_west_raid_5_2	TREASURY	AMOUNT[250]
