effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/new_effects		
shieldwall_formation_unlock_wedge	enable	form_shield_screen
shieldwall_formation_unlock_castle	enable	form_wedge
sw_reduced_focus_fire_cooldown	recharge_mod	focus_fire
sw_reduced_hold_firm_cooldown	recharge_mod	att_gen_brace_02
sw_reduced_rally_cooldown	recharge_mod	att_gen_rally_02
sw_reduced_marksmenship_cooldown	recharge_mod	rapid_volley
sw_unlock_rapid_advance	enable	rapid_advance
sw_unlock_warcry	enable	att_gen_fear_02
sw_reduced_inspire_cooldown	recharge_mod	att_gen_inspire_02
sw_unlock_endurance	enable	att_gen_raise_05
sw_unlock_highland_charge	enable	frenzied_charge
sw_cooldown_endurance	recharge_mod	att_gen_raise_05
