campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;0;db/character_skill_level_details_tables/character_skill_level_details						
		1	vik_back_wife_ambitious		x	0
		1	vik_back_wife_ambitious_circenn		x	0
		1	vik_back_wife_ambitious_dyflin		x	0
		1	vik_back_wife_ambitious_east_engle		x	0
		1	vik_back_wife_ambitious_gwined		x	0
		1	vik_back_wife_ambitious_mide		x	0
		1	vik_back_wife_ambitious_mierce		x	0
		1	vik_back_wife_ambitious_northymbre		x	0
		1	vik_back_wife_ambitious_strat_clut		x	0
		1	vik_back_wife_ambitious_sudreyar		x	0
		1	vik_back_wife_ambitious_west_seaxe		x	0
		1	vik_back_wife_arrogant		x	0
		1	vik_back_wife_arrogant_circenn		x	0
		1	vik_back_wife_arrogant_dyflin		x	0
		1	vik_back_wife_arrogant_east_engle		x	0
		1	vik_back_wife_arrogant_gwined		x	0
		1	vik_back_wife_arrogant_mide		x	0
		1	vik_back_wife_arrogant_mierce		x	0
		1	vik_back_wife_arrogant_northymbre		x	0
		1	vik_back_wife_arrogant_strat_clut		x	0
		1	vik_back_wife_arrogant_sudreyar		x	0
		1	vik_back_wife_arrogant_west_seaxe		x	0
		1	vik_back_wife_brutal		x	0
		1	vik_back_wife_brutal_circenn		x	0
		1	vik_back_wife_brutal_dyflin		x	0
		1	vik_back_wife_brutal_east_engle		x	0
		1	vik_back_wife_brutal_gwined		x	0
		1	vik_back_wife_brutal_mide		x	0
		1	vik_back_wife_brutal_mierce		x	0
		1	vik_back_wife_brutal_northymbre		x	0
		1	vik_back_wife_brutal_strat_clut		x	0
		1	vik_back_wife_brutal_sudreyar		x	0
		1	vik_back_wife_brutal_west_seaxe		x	0
		1	vik_back_wife_charming		x	0
		1	vik_back_wife_charming_circenn		x	0
		1	vik_back_wife_charming_dyflin		x	0
		1	vik_back_wife_charming_east_engle		x	0
		1	vik_back_wife_charming_gwined		x	0
		1	vik_back_wife_charming_mide		x	0
		1	vik_back_wife_charming_mierce		x	0
		1	vik_back_wife_charming_northymbre		x	0
		1	vik_back_wife_charming_strat_clut		x	0
		1	vik_back_wife_charming_sudreyar		x	0
		1	vik_back_wife_charming_west_seaxe		x	0
		1	vik_back_wife_demanding		x	0
		1	vik_back_wife_demanding_circenn		x	0
		1	vik_back_wife_demanding_dyflin		x	0
		1	vik_back_wife_demanding_east_engle		x	0
		1	vik_back_wife_demanding_gwined		x	0
		1	vik_back_wife_demanding_mide		x	0
		1	vik_back_wife_demanding_mierce		x	0
		1	vik_back_wife_demanding_northymbre		x	0
		1	vik_back_wife_demanding_strat_clut		x	0
		1	vik_back_wife_demanding_sudreyar		x	0
		1	vik_back_wife_demanding_west_seaxe		x	0
		1	vik_back_wife_educated		x	0
		1	vik_back_wife_educated_circenn		x	0
		1	vik_back_wife_educated_dyflin		x	0
		1	vik_back_wife_educated_east_engle		x	0
		1	vik_back_wife_educated_gwined		x	0
		1	vik_back_wife_educated_mide		x	0
		1	vik_back_wife_educated_mierce		x	0
		1	vik_back_wife_educated_northymbre		x	0
		1	vik_back_wife_educated_strat_clut		x	0
		1	vik_back_wife_educated_sudreyar		x	0
		1	vik_back_wife_educated_west_seaxe		x	0
		1	vik_back_wife_faithful		x	0
		1	vik_back_wife_faithful_circenn		x	0
		1	vik_back_wife_faithful_dyflin		x	0
		1	vik_back_wife_faithful_east_engle		x	0
		1	vik_back_wife_faithful_gwined		x	0
		1	vik_back_wife_faithful_mide		x	0
		1	vik_back_wife_faithful_mierce		x	0
		1	vik_back_wife_faithful_northymbre		x	0
		1	vik_back_wife_faithful_strat_clut		x	0
		1	vik_back_wife_faithful_sudreyar		x	0
		1	vik_back_wife_faithful_west_seaxe		x	0
		1	vik_back_wife_gossip		x	0
		1	vik_back_wife_gossip_circenn		x	0
		1	vik_back_wife_gossip_dyflin		x	0
		1	vik_back_wife_gossip_east_engle		x	0
		1	vik_back_wife_gossip_gwined		x	0
		1	vik_back_wife_gossip_mide		x	0
		1	vik_back_wife_gossip_mierce		x	0
		1	vik_back_wife_gossip_northymbre		x	0
		1	vik_back_wife_gossip_strat_clut		x	0
		1	vik_back_wife_gossip_sudreyar		x	0
		1	vik_back_wife_gossip_west_seaxe		x	0
		1	vik_back_wife_loyal		x	0
		1	vik_back_wife_loyal_circenn		x	0
		1	vik_back_wife_loyal_dyflin		x	0
		1	vik_back_wife_loyal_east_engle		x	0
		1	vik_back_wife_loyal_gwined		x	0
		1	vik_back_wife_loyal_mide		x	0
		1	vik_back_wife_loyal_mierce		x	0
		1	vik_back_wife_loyal_northymbre		x	0
		1	vik_back_wife_loyal_strat_clut		x	0
		1	vik_back_wife_loyal_sudreyar		x	0
		1	vik_back_wife_loyal_west_seaxe		x	0
		1	vik_back_wife_midwife		x	0
		1	vik_back_wife_midwife_circenn		x	0
		1	vik_back_wife_midwife_dyflin		x	0
		1	vik_back_wife_midwife_east_engle		x	0
		1	vik_back_wife_midwife_gwined		x	0
