trait	agent
#trait_to_included_agents_tables;0;db/trait_to_included_agents_tables/king_titles	
shield_leader_titles_king	general
shield_leader_titles_vassal	general
shield_leader_titles_vik_fact_circenn_0	general
shield_leader_titles_vik_fact_circenn_1	general
shield_leader_titles_vik_fact_circenn_2	general
shield_leader_titles_vik_fact_dyflin_0	general
shield_leader_titles_vik_fact_dyflin_1	general
shield_leader_titles_vik_fact_dyflin_2	general
shield_leader_titles_vik_fact_east_engle_0	general
shield_leader_titles_vik_fact_east_engle_1	general
shield_leader_titles_vik_fact_east_engle_2	general
shield_leader_titles_vik_fact_gwined_0	general
shield_leader_titles_vik_fact_gwined_1	general
shield_leader_titles_vik_fact_gwined_2	general
shield_leader_titles_vik_fact_mide_0	general
shield_leader_titles_vik_fact_mide_1	general
shield_leader_titles_vik_fact_mide_2	general
shield_leader_titles_vik_fact_mierce_0	general
shield_leader_titles_vik_fact_mierce_1	general
shield_leader_titles_vik_fact_mierce_2	general
shield_leader_titles_vik_fact_northymbre_0	general
shield_leader_titles_vik_fact_northymbre_1	general
shield_leader_titles_vik_fact_northymbre_2	general
shield_leader_titles_vik_fact_strat_clut_0	general
shield_leader_titles_vik_fact_strat_clut_1	general
shield_leader_titles_vik_fact_strat_clut_2	general
shield_leader_titles_vik_fact_sudreyar_0	general
shield_leader_titles_vik_fact_sudreyar_1	general
shield_leader_titles_vik_fact_sudreyar_2	general
shield_leader_titles_vik_fact_west_seaxe_0	general
shield_leader_titles_vik_fact_west_seaxe_1	general
shield_leader_titles_vik_fact_west_seaxe_2	general
shield_leader_titles_vik_fact_northleode_0	general
shield_leader_titles_vik_fact_northleode_1	general
shield_leader_titles_vik_fact_northleode_2	general
