effect	icon	priority	icon_negative	is_hidden
#effects_tables;3;db/effects_tables/shield_effects				
shield_loyalty_event_churches	payload_secure_loyalty.png	29	loyalty_negative.png	false
shield_loyalty_event_city	payload_secure_loyalty.png	36	loyalty_negative.png	false
shield_loyalty_event_civil_tech	payload_secure_loyalty.png	26	loyalty_negative.png	false
shield_loyalty_event_court	payload_secure_loyalty.png	35	loyalty_negative.png	false
shield_loyalty_event_bandits	payload_secure_loyalty.png	37	loyalty_negative.png	false
shield_loyalty_event_execution	payload_secure_loyalty.png	34	loyalty_negative.png	false
shield_loyalty_event_high_level_churches	payload_secure_loyalty.png	30	loyalty_negative.png	false
shield_loyalty_event_hunting_estates	payload_secure_loyalty.png	28	loyalty_negative.png	false
shield_loyalty_event_library	payload_secure_loyalty.png	25	loyalty_negative.png	false
shield_loyalty_event_peace_treaty	payload_secure_loyalty.png	33	loyalty_negative.png	false
shield_loyalty_event_princely	payload_secure_loyalty.png	27	loyalty_negative.png	false
shield_loyalty_event_rebellions	payload_secure_loyalty.png	32	loyalty_negative.png	false
shield_loyalty_event_sacking_churches	payload_secure_loyalty.png	31	loyalty_negative.png	false
shield_loyalty_event_war_declared	payload_secure_loyalty.png	38	loyalty_negative.png	false
shield_loyalty_event_treaties_broken_vikings	payload_secure_loyalty.png	38	loyalty_negative.png	false
shield_xloyalty_berserker	payload_secure_loyalty.png	24	loyalty_negative.png	false
shield_xloyalty_bloodthirsty	payload_secure_loyalty.png	19	loyalty_negative.png	false
shield_xloyalty_educated	payload_secure_loyalty.png	20	loyalty_negative.png	false
shield_xloyalty_friend_of_the_church	payload_secure_loyalty.png	16	loyalty_negative.png	false
shield_xloyalty_greedy	payload_secure_loyalty.png	22	loyalty_negative.png	false
shield_xloyalty_high_born	payload_secure_loyalty.png	5	loyalty_negative.png	false
shield_xloyalty_just	payload_secure_loyalty.png	21	loyalty_negative.png	false
shield_xloyalty_lawful	payload_secure_loyalty.png	23	loyalty_negative.png	false
shield_xloyalty_oppressor	payload_secure_loyalty.png	3	loyalty_negative.png	false
shield_xloyalty_pagan	payload_secure_loyalty.png	17	loyalty_negative.png	false
shield_xloyalty_sailor	payload_secure_loyalty.png	6	loyalty_negative.png	false
shield_xloyalty_subjugator	payload_secure_loyalty.png	18	loyalty_negative.png	false
shield_xloyalty_violent	payload_secure_loyalty.png	4	loyalty_negative.png	false
shield_xloyalty_wise	payload_secure_loyalty.png	2	loyalty_negative.png	false
shield_xloyalty_legendary_king	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_charitable	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_legendary_saint	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_legendary_brute	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_legendary_tyrant	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_honourable	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_legendary_judge	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_seneschal	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_legendary_magnate	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_champion	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_princely	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_hunter	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_proud	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_repentent	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_dutifull	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_husbandman	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_beloved	payload_secure_loyalty.png	0	loyalty_negative.png	false
shield_xloyalty_legendary_warrior	payload_secure_loyalty.png	2	loyalty_negative.png	false
shieldwall_eventflag_single_combat	civil_war.png	1	civil_war.png	false
