bonus_value_id	effect	subculture
#effect_bonus_value_subculture_junctions_tables;0;db/effect_bonus_value_subculture_junctions_tables/shieldwall_diplomacy_effects		
diplomatic_mod	sw_diplomacy_all_gva	vik_sub_cult_anglo_viking
diplomatic_mod	sw_diplomacy_all_vsk	vik_sub_cult_viking_gael
diplomatic_mod	sw_diplomacy_all_sax	vik_sub_cult_english
diplomatic_mod	sw_diplomacy_all_iri	vik_sub_cult_irish
diplomatic_mod	sw_diplomacy_all_scots	vik_sub_cult_scots
diplomatic_mod	sw_diplomacy_all_invaders	vik_sub_cult_viking
diplomatic_mod	sw_diplomacy_all_gva_hidden	vik_sub_cult_anglo_viking
diplomatic_mod	sw_diplomacy_all_vsk_hidden	vik_sub_cult_viking_gael
diplomatic_mod	sw_diplomacy_all_sax_hidden	vik_sub_cult_english
diplomatic_mod	sw_diplomacy_all_iri_hidden	vik_sub_cult_irish
diplomatic_mod	sw_diplomacy_all_scots_hidden	vik_sub_cult_scots
diplomatic_mod	sw_diplomacy_all_invaders_hidden	vik_sub_cult_viking
diplomatic_mod	sw_diplomacy_all_welsh_hidden	vik_sub_cult_welsh
diplomatic_mod	sw_diplomacy_all_welsh	vik_sub_cult_welsh
diplomatic_mod	sw_diplomacy_all_non_vikings	vik_sub_cult_english
diplomatic_mod	sw_diplomacy_all_non_vikings	vik_sub_cult_irish
diplomatic_mod	sw_diplomacy_all_non_vikings	vik_sub_cult_scots
diplomatic_mod	sw_diplomacy_all_non_vikings	vik_sub_cult_welsh
diplomatic_mod	sw_diplomacy_all_vikings	vik_sub_cult_viking
diplomatic_mod	sw_diplomacy_all_vikings	vik_sub_cult_anglo_viking
diplomatic_mod	sw_diplomacy_all_vikings	vik_sub_cult_viking_gael
