level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	has_aqueduct	can_be_damaged	requires_primary_slot_in_group
#building_levels_tables;11;db/building_levels_tables/major_sec																											
vik_round_tower_1	vik_round_tower	0	4	450	60		0	false	0	0	0	0	true	false				15640	true	vik_round_tower	military	true	0.0	0	false	true	
vik_round_tower_2	vik_round_tower	1	4	550	85		0	false	0	0	0	0	false	false				15650	true	vik_round_tower	military	true	0.0	0	false	true	
vik_round_tower_3	vik_round_tower	2	4	700	110		0	false	0	0	0	0	false	false				15659	true	vik_round_tower	military	true	0.0	0	false	true	
vik_church_crafts_1	vik_church_crafts	0	4	550	0		0	false	0	0	0	0	true	false				17230	true	vik_church_crafts	workshop_stonemasonry	true	0.0	0	false	true	
vik_church_crafts_2	vik_church_crafts	1	1	650	0		0	false	0	0	0	0	false	false				17233	true	vik_church_crafts	workshop_stonemasonry	true	0.0	0	false	true	
vik_church_crafts_3	vik_church_crafts	2	2	750	0		0	false	0	0	0	0	false	false				17238	true	vik_church_crafts	workshop_stonemasonry	true	0.0	0	false	true	
vik_bullaun_1	vik_bullaun	0	5	650	100		0	false	0	0	0	0	true	false				17202	true	vik_bullaun	military	true	0.0	0	false	true	
vik_bullaun_2	vik_bullaun	1	2	750	170		0	false	0	0	0	0	false	false				17212	true	vik_bullaun	military	true	0.0	0	false	true	
vik_bullaun_3	vik_bullaun	2	3	900	250		0	false	0	0	0	0	false	false				17222	true	vik_bullaun	military	true	0.0	0	false	true	
vik_wax_1	vik_wax	0	7	600	0		0	false	0	0	0	0	true	false				17566	true	vik_wax	church	true	0.0	0	false	true	
vik_wax_2	vik_wax	1	4	750	0		0	false	0	0	0	0	false	false				17570	true	vik_wax	church	true	0.0	0	false	true	
vik_wax_3	vik_wax	2	5	900	0		0	false	0	0	0	0	false	false				17577	true	vik_wax	church	true	0.0	0	false	true	
