key	generate	ui_icon	ui_image	prioritised	event_category
#incidents_tables;4;db/incidents_tables/endgame_invasions					
sw_normans_invasion_prelude	false	message_generic_news.png	vik_event_viking_invasion	true	Ybor
sw_normans_invasion_near_werham	false	message_generic_news.png	vik_event_viking_invasion	true	Ybor
sw_normans_invasion_near_lunden	false	message_generic_news.png	vik_event_viking_invasion	true	Ybor
sw_normans_invasion_near_northwic	false	message_generic_news.png	vik_event_viking_invasion	true	Ybor
sw_normans_invasion_near_tintagol	false	message_generic_news.png	vik_event_viking_invasion	true	Ybor
sw_normans_invasion_far_away	false	message_generic_news.png	vik_event_viking_invasion	true	Ybor
sw_normans_invasion_harrying	false	message_generic_news.png	vik_event_rebellion	true	Ybor
sw_normans_conqueror_survives	false	message_generic_news.png	vik_event_invade_territory_01	true	Ybor
sw_normans_conqueror_dies	false	message_generic_news.png	vik_event_military_army_victory	true	Ybor
sw_norse_invasion_arrives	false	message_generic_news.png	vik_event_viking_invasion	true	Ybor
sw_norse_conqueror_dies	false	message_generic_news.png	vik_event_military_army_victory	true	Ybor
sw_norse_invasion_attacks	false	message_generic_news.png	vik_event_viking_invasion	true	Ybor
