key	generate	ui_icon	ui_image	prioritised	event_category
#incidents_tables;4;db/incidents_tables/sw_historical					
sw_viking_invasion_vik_fact_finngaill_northwest	false	message_generic_news.png	vik_event_viking_invasion	true	political_action_outcome
sw_viking_invasion_vik_fact_nordmann_north	false	message_generic_news.png	vik_event_viking_invasion	true	political_action_outcome
sw_viking_invasion_vik_fact_dubgaill_south	false	message_generic_news.png	vik_event_viking_invasion	true	political_action_outcome
sw_viking_invasion_vik_fact_wicing_northeast	false	message_generic_news.png	vik_event_viking_invasion	true	political_action_outcome
sw_viking_invasion_vik_fact_haeden_east	false	message_generic_news.png	vik_event_viking_invasion	true	political_action_outcome
sw_mierce_welsh_infighting	false	message_generic_news.png	vik_event_debate	true	political_action_outcome
sw_mierce_welsh_invasion	false	message_generic_news.png	vik_event_kingdom_formed	true	political_action_outcome
sw_mierce_welsh_war	false	message_generic_news.png	vik_event_invade_territory_01	true	political_action_outcome
sw_mierce_welsh_gwined	false	message_generic_news.png	vik_event_invade_territory_01	true	political_action_outcome
sw_gwined_seisilwig_powergrab	false	message_generic_news.png	vik_event_settlement_captured	true	political_action_outcome
sw_gwined_seisilwig_helps	false	message_generic_news.png	vik_event_armies_clash_01	true	political_action_outcome
sw_gwined_seisilwig_betrays	false	message_generic_news.png	vik_event_debate	true	political_action_outcome
sw_ai_welsh_infighting	false	message_generic_news.png	vik_event_debate	true	political_action_outcome
sw_ai_welsh_invade_mierce	false	message_generic_news.png	vik_event_armies_clash_01	true	political_action_outcome
