phase	stat	value	how
#special_ability_phase_stat_effects_tables;1;db/special_ability_phase_stat_effects_tables/sw_shieldwall_ability_phase_effects			
supressing_fire_large_unit	stat_speed	0.8	mult
supressing_fire_large_unit	scalar_bracing	0.8	mult
supressing_fire_small_unit	stat_speed	0.9	mult
supressing_fire_small_unit	stat_morale	-2.0	add
javelin_stopping_power_heavy	scalar_bracing	0.7	mult
javelin_stopping_power_heavy	scalar_entity_acceleration_modifier	0.7	mult
javelin_stopping_power_heavy	scalar_entity_charge_speed_modifier	0.7	mult
javelin_stopping_power_horseback	scalar_bracing	0.8	mult
javelin_stopping_power_horseback	scalar_entity_acceleration_modifier	0.8	mult
javelin_stopping_power_horseback	scalar_entity_charge_speed_modifier	0.8	mult
javelin_stopping_power_light	scalar_bracing	0.8	mult
javelin_stopping_power_light	scalar_entity_acceleration_modifier	0.8	mult
javelin_stopping_power_light	scalar_entity_charge_speed_modifier	0.8	mult
javelin_stopping_power_horseback	stat_charge_bonus	0.8	mult
javelin_stopping_power_heavy	stat_charge_bonus	0.7	mult
javelin_stopping_power_light	stat_charge_bonus	0.8	mult
supressing_fire_large_unit	scalar_entity_charge_speed_modifier	0.8	mult
supressing_fire_small_unit	scalar_entity_charge_speed_modifier	0.9	mult
vik_hail	stat_speed	0.85	mult
vik_sniped	stat_morale	-2.0	add
vik_stopping_power	stat_charge_bonus	0.65	mult
vik_stopping_power	scalar_entity_charge_speed_modifier	0.65	mult
vik_hail_slings	stat_speed	0.75	mult
vik_professional_archers	stat_morale	-2.0	add
vik_professional_archers	stat_speed	0.85	mult
vik_form_wedge	stat_charge_bonus	4.0	add
vik_form_wedge	scalar_entity_charge_speed_modifier	1.15	mult
form_square	scalar_bracing	1.3	mult
vik_heavy_blades	stat_bonus_vs_infantry	15.0	add
vik_swordsmen	stat_melee_defence	15.0	add
