faction	general_unit	unit	siege_unit_attacker	siege_unit_defender
#units_custom_battle_permissions_tables;4;db/units_custom_battle_permissions_tables/sw_gva_roster				
vik_fact_east_engle_mp	false	sw_dan_vikingar	true	true
vik_fact_east_engle_mp	true	sw_dan_elite_general	true	true
vik_fact_east_engle_mp	true	sw_dan_general	true	true
vik_fact_east_engle_mp	false	sw_dan_leidang	true	true
vik_fact_east_engle_mp	false	sw_dan_danelaw_spears	true	true
vik_fact_east_engle_mp	false	sw_dan_thegn_spear	true	true
vik_fact_east_engle_mp	false	sw_dan_thegn_sword	true	true
vik_fact_east_engle_mp	false	sw_dan_hunters	true	true
vik_fact_east_engle_mp	false	sw_dan_archers	true	true
vik_fact_east_engle_mp	false	sw_dan_skirmisher	true	true
vik_fact_east_engle_mp	false	sw_dan_hirdmenn_mounted	true	true
vik_fact_east_engle_mp	false	sw_dan_scout	true	true
vik_fact_east_engle_mp	false	sw_dan_sword_hero	true	true
vik_fact_east_engle_mp	false	sw_dan_hirdmenn_sword	true	true
vik_fact_east_engle_mp	false	sw_dan_rekkar	true	true
