faction	general_unit	unit	siege_unit_attacker	siege_unit_defender
#units_custom_battle_permissions_tables;4;db/units_custom_battle_permissions_tables/sw_welsh_roster				
vik_fact_gwined_mp	true	sw_wel_general	true	true
vik_fact_gwined_mp	true	sw_wel_elite_general	true	true
vik_fact_gwined_mp	false	sw_wel_taeog_spear	true	true
vik_fact_gwined_mp	false	sw_wel_pedyt_spear	true	true
vik_fact_gwined_mp	false	sw_wel_taeog_axe	true	true
vik_fact_gwined_mp	false	sw_wel_cadwr_axe	true	true
vik_fact_gwined_mp	false	sw_wel_archers	true	true
vik_fact_gwined_mp	false	sw_wel_hunters	true	true
vik_fact_gwined_mp	false	sw_wel_longbow_hero	true	true
vik_fact_gwined_mp	false	sw_wel_longbowmen	true	true
vik_fact_gwined_mp	false	sw_wel_cambrogi	true	true
vik_fact_gwined_mp	false	sw_wel_penteulu_hero	true	true
vik_fact_gwined_mp	false	sw_wel_scout	true	true
vik_fact_gwined_mp	false	sw_wel_skirmisher	true	true
vik_fact_gwined_mp	false	sw_wel_uchelwr_mounted	true	true
vik_fact_gwined_mp	false	sw_wel_gwrda_sword	true	true
vik_fact_gwined_mp	false	sw_wel_uchelwr_spear	true	true
vik_fact_gwined_mp	false	sw_wel_teulu_spear	true	true
vik_fact_strat_clut_mp	true	sw_wel_general	true	true
vik_fact_strat_clut_mp	true	sw_wel_elite_general	true	true
vik_fact_strat_clut_mp	false	sw_wel_taeog_spear	true	true
vik_fact_strat_clut_mp	false	sw_wel_pedyt_spear	true	true
vik_fact_strat_clut_mp	false	sw_wel_taeog_axe	true	true
vik_fact_strat_clut_mp	false	sw_wel_cadwr_axe	true	true
vik_fact_strat_clut_mp	false	sw_wel_archers	true	true
vik_fact_strat_clut_mp	false	sw_wel_hunters	true	true
vik_fact_strat_clut_mp	false	sw_wel_longbowmen	true	true
vik_fact_strat_clut_mp	false	sw_wel_cambrogi	true	true
vik_fact_strat_clut_mp	false	sw_wel_strat_clut_comites	true	true
vik_fact_strat_clut_mp	false	sw_wel_penteulu_hero	true	true
vik_fact_strat_clut_mp	false	sw_wel_scout	true	true
vik_fact_strat_clut_mp	false	sw_wel_uchelwr_mounted	true	true
vik_fact_strat_clut_mp	false	sw_wel_gwrda_sword	true	true
vik_fact_strat_clut_mp	false	sw_wel_teulu_sword	true	true
vik_fact_strat_clut_mp	false	sw_wel_uchelwr_spear	true	true
vik_fact_strat_clut_mp	false	sw_wel_teulu_spear	true	true
vik_fact_strat_clut_mp	false	sw_wel_skirmisher	true	true
vik_fact_strat_clut_mp	false	sw_wel_young_sword	true	true
vik_fact_gwined_mp	false	sw_wel_young_sword	true	true
vik_fact_gwined_mp	false	sw_wel_teulu_sword	true	true
