key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	penetration	incendiary	can_bounce	high_air_resistance	collision_radius	base_reload_time	below_waterline_damage_modifier	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_cavalry	bonus_v_elephant	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	is_grapple	burst_size	burst_shot_delay	explosion_spread	fire_damage
#projectiles_tables;25;db/projectiles_tables/balance_projectiles																																					
att_sling_normal	sling	small_arm_default		none	1	low	160	0	44	50.0	45.0	0.0	1	2			true	false	0.05	4.0	0.0	150.0	2.0	2	2	0	sling_shot		small_stone	-1.0	false	vik_hail_slings	false	1	0.0		0.0
vik_bow_elite_normal	arrow	small_arm_default		none	1	low	140	0	44	45.0	55.0	0.0	11	5			false	false	0.1	8.0	0.0	140.0	0.5	0	8	0	arrow_normal		arrow	-1.0	false	vik_professional_archers	false	1	0.0		0.0
vik_bow_levy_normal	arrow	small_arm_default		none	1	low	125	0	44	45.0	35.0	0.0	8	0			false	false	0.1	6.0	0.0	100.0	2.0	0	4	0	arrow_normal		arrow	-1.0	false	vik_hail	false	1	0.0		0.0
vik_bow_normal	arrow	small_arm_default		none	1	low	125	0	44	45.0	45.0	0.0	11	0			false	false	0.1	8.0	0.0	115.0	0.5	0	8	0	arrow_normal		arrow	-1.0	false	vik_sniped	false	1	0.0		0.0
vik_catapult_rock	artillery	artillery_default		shell_spin	1	fixed	300	75	30	-1.0	25.0	0.0	64	32	medium		true	false	0.1	20.0	0.0	250.0	150.0	0	0	0	rock		rock	0.5	true		false	1	0.0		0.0
vik_crossbow_normal	arrow	small_arm_default		none	1	low	100	0	44	60.0	40.0	0.0	2	8			false	false	0.1	10.0	0.0	85.0	1.0	6	0	0	arrow_normal		bolt	-1.0	false		false	1	0.0		0.0
vik_dart	javelin	small_arm_default		none	1	low	90	0	38	28.0	50.0	1.0	16	0			false	false	0.1	6.0	0.0	80.0	3.0	0	8	0	vik_dart		javelin	-1.0	false	vik_stopping_power	false	1	0.0		0.0
vik_javelin_cavalry	javelin	small_arm_default		none	1	low	70	0	38	25.0	50.0	1.0	8	7			false	false	0.1	8.0	0.0	65.0	3.0	0	8	0	javelin		javelin	-1.0	false		false	1	0.0		0.0
vik_javelin_cavalry_elite	javelin	small_arm_default		none	1	low	70	0	38	25.0	50.0	1.0	8	7			false	false	0.1	8.0	0.0	65.0	3.0	0	8	0	javelin		javelin	-1.0	false		false	1	0.0		0.0
vik_javelin_cavalry_precursor	javelin	small_arm_default		none	1	low	70	0	38	25.0	70.0	1.0	8	7			false	false	0.1	3.0	0.0	65.0	3.0	0	8	0	javelin_leaf_01		javelin	-1.0	false		false	1	0.0		0.0
vik_longbow_normal	arrow	small_arm_default		none	1	low	140	0	44	45.0	40.0	0.0	9	1			false	false	0.1	8.0	0.0	125.0	2.0	0	8	0	arrow_normal		arrow	-1.0	false	vik_sniped	false	1	0.0		0.0
vik_javelin_leaf_01	javelin	small_arm_default		none	1	low	70	0	38	22.0	60.0	1.0	16	16			false	false	0.1	100.0	0.0	65.0	3.0	0	8	0	javelin_leaf_01		javelin	-1.0	false	vik_stopping_power	false	1	0.0		0.0
vik_javelin_leaf_02	javelin	small_arm_default		none	1	low	70	0	38	22.0	60.0	1.0	16	16			false	false	0.1	100.0	0.0	65.0	3.0	0	8	0	javelin_leaf_02		javelin	-1.0	false	vik_stopping_power	false	1	0.0		0.0
vik_javelin_leaf_03	javelin	small_arm_default		none	1	low	70	0	38	22.0	60.0	1.0	16	16			false	false	0.1	3.0	0.0	65.0	3.0	0	8	0	javelin_leaf_03		javelin	-1.0	false	vik_stopping_power	false	1	0.0		0.0
vik_javelin_tip_01	javelin	small_arm_default		none	1	low	70	0	38	22.0	60.0	1.0	6	6			false	false	0.1	100.0	0.0	65.0	5.0	0	8	0	javelin_tip_01		javelin	-1.0	false	vik_stopping_power	false	1	0.0		0.0
vik_javelin_tip_02	javelin	small_arm_default		none	1	low	70	0	38	22.0	60.0	1.0	6	6			false	false	0.1	100.0	0.0	65.0	5.0	0	8	0	javelin_tip_02		javelin	-1.0	false	vik_stopping_power	false	1	0.0		0.0
vik_javelin_tip_03	javelin	small_arm_default		none	1	low	70	0	38	22.0	60.0	1.0	6	6			false	false	0.1	100.0	0.0	65.0	5.0	0	8	0	javelin_tip_03		javelin	-1.0	false	vik_stopping_power	false	1	0.0		0.0
vik_javelin_wood_01	javelin	small_arm_default		none	1	low	70	0	38	22.0	60.0	1.0	8	4			false	false	0.1	6.0	0.0	65.0	4.0	0	8	0	javelin_wood_01		javelin	-1.0	false	vik_stopping_power	false	1	0.0		0.0
vik_javelin_wood_02	javelin	small_arm_default		none	1	low	70	0	38	22.0	60.0	1.0	8	5			false	false	0.1	6.0	0.0	65.0	4.0	0	8	0	javelin_wood_02		javelin	-1.0	false	vik_stopping_power	false	1	0.0		0.0
vik_javelin_wood_03	javelin	small_arm_default		none	1	low	70	0	38	22.0	60.0	1.0	6	6			false	false	0.1	100.0	0.0	65.0	4.0	0	8	0	javelin_wood_03		javelin	-1.0	false	vik_stopping_power	false	1	0.0		0.0
