unique_id	culture_key	faction_key	localised_string_key	ministerial_position_key	subculture_key	campaign
#ministerial_positions_culture_details_tables;5;db/ministerial_positions_culture_details_tables/ministerial_positions_culture_details						
1000			vik_chamberlain	vik_chamberlain		
1009			vik_justicar	vik_justicar		
1023		vik_fact_aileach	vik_king	faction_leader		
1030		vik_fact_airgialla	vik_king	faction_leader		
1031		vik_fact_circenn	vik_king	faction_leader		
1032		vik_fact_bedeborg	vik_jarl	faction_leader		
1038		vik_fact_brega	vik_king	faction_leader		
1047		vik_fact_breifne	vik_king	faction_leader		
1056		vik_fact_brechinauc	vik_king	faction_leader		
1062		vik_fact_grantebru	vik_jarl	faction_leader		
1072		vik_fact_connacht	vik_king	faction_leader		
1077		vik_fact_myrrborg	vik_jarl	faction_leader		
1080		vik_fact_cerneu	vik_king	faction_leader		
1084		vik_fact_dene	vik_king	faction_leader		
1093		vik_fact_defena	vik_earldorman	faction_leader		
1102		vik_fact_dorsaete	vik_earldorman	faction_leader		
1104		vik_fact_dyflin	vik_king	faction_leader		
1108		vik_fact_dyfet	vik_king	faction_leader		
1114		vik_fact_east_engle	vik_king	faction_leader		
1115		vik_fact_east_seaxe	vik_king	faction_leader		
1119		vik_fact_gallgoidel	vik_jarl	faction_leader		
1120		vik_fact_gliwissig	vik_king	faction_leader		
1130		vik_fact_gwent	vik_king	faction_leader		
1136		vik_fact_gwined	vik_king	faction_leader		
1142		vik_fact_veidrborg	vik_jarl	faction_leader		
1147		vik_fact_sudreyar	vik_king	faction_leader		
1148		vik_fact_cent	vik_earldorman	faction_leader		
1150		vik_fact_laigin	vik_king	faction_leader		
1151		vik_fact_ledeborg	vik_jarl	faction_leader		
1160		vik_fact_hlymrekr	vik_jarl	faction_leader		
1170		vik_fact_hylrborg	vik_jarl	faction_leader		
1174		vik_fact_mierce	vik_king	faction_leader		
1179		vik_fact_mide	vik_king	faction_leader		
1180		vik_fact_fortriu	vik_mormaer	faction_leader		
1182		vik_fact_caisil	vik_king	faction_leader		
1189		vik_fact_normaunds	vik_king	faction_leader		
1198		vik_fact_norse	vik_jarl	faction_leader		
1204		vik_fact_tuadmuma	vik_king	faction_leader		
1207		vik_fact_northleode	vik_king	faction_leader		
1213		vik_fact_heimiliborg	vik_jarl	faction_leader		
1219		vik_fact_nordmann	vik_jarl	faction_leader		
1221		vik_fact_northymbre	vik_king	faction_leader		
1222		vik_fact_hellirborg	vik_jarl	faction_leader		
1228		vik_fact_orkneyar	vik_jarl	faction_leader		
1236		vik_fact_osraige	vik_king	faction_leader		
1239		vik_fact_powis	vik_king	faction_leader		
1243		vik_fact_rebels_english	vik_king	faction_leader		
1250		vik_fact_rebels_irish	vik_king	faction_leader		
1256		vik_fact_rebels_scottish	vik_king	faction_leader		
1265		vik_fact_rebels_viking	vik_jarl	faction_leader		
1267		vik_fact_rebels_welsh	vik_king	faction_leader		
1275		vik_fact_seisilwig	vik_king	faction_leader		
1278		vik_fact_separatists_circenn	vik_king	faction_leader		
1284		vik_fact_separatists_dyflin	vik_king	faction_leader		
1293		vik_fact_separatists_east_engle	vik_king	faction_leader		
1297		vik_fact_separatists_english	vik_king	faction_leader		
1304		vik_fact_separatists_gwined	vik_king	faction_leader		
1308		vik_fact_separatists_irish	vik_king	faction_leader		
1316		vik_fact_separatists_sudreyar	vik_king	faction_leader		
1322		vik_fact_separatists_mierce	vik_king	faction_leader		
1323		vik_fact_separatists_mide	vik_king	faction_leader		
1331		vik_fact_separatists_northymbre	vik_king	faction_leader		
1335		vik_fact_separatists_scottish	vik_king	faction_leader		
1344		vik_fact_separatists_strat_clut	vik_king	faction_leader		
1347		vik_fact_separatists_viking	vik_king	faction_leader		
1349		vik_fact_separatists_welsh	vik_king	faction_leader		
1358		vik_fact_separatists_west_seaxe	vik_king	faction_leader		
1360		vik_fact_desmuma	vik_king	faction_leader		
1365		vik_fact_steinnborg	vik_jarl	faction_leader		
1373		vik_fact_strat_clut	vik_king	faction_leader		
1381		vik_fact_suth_seaxe	vik_earldorman	faction_leader		
1385		vik_fact_ulaid	vik_king	faction_leader		
1388		vik_fact_wicing	vik_jarl	faction_leader		
1396		vik_fact_vedrafjordr	vik_jarl	faction_leader		
1397		vik_fact_west_seaxe	vik_king	faction_leader		
1398		vik_fact_iarmuma	vik_king	faction_leader		
1402		vik_fact_veisafjordr	vik_jarl	faction_leader		
1407		vik_fact_jorvik	vik_jarl	faction_leader		
1412		vik_fact_athfochla	vik_mormaer	faction_leader		
1416		vik_fact_airer_goidel	vik_mormaer	faction_leader		
1421		vik_fact_djurby	vik_jarl	faction_leader		
1423		vik_fact_dubgaill	vik_jarl	faction_leader		
1424		vik_fact_finngaill	vik_jarl	faction_leader		
1434		vik_fact_haeden	vik_jarl	faction_leader		
1443		vik_fact_holdrness	vik_jarl	faction_leader		
1445		vik_fact_cumbra	vik_king	faction_leader		
1453		vik_fact_hwicce	vik_earldorman	faction_leader		
1460		vik_fact_westernas	vik_jarl	faction_leader		
1464		vik_fact_westmoringas	vik_jarl	faction_leader		
1467		vik_fact_separatists_northymbre	vik_king	faction_leader		
989			vik_heir	heir		
999			vik_kings_captain	vik_kings_captain		
