campaign_difficulty_handicap	human	effect	effect_scope	effect_value	optional_campaign_key
#campaign_difficulty_handicap_effects_tables;0;db/campaign_difficulty_handicap_effects_tables/shieldwall_levy_pools					
-1	false	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
-1	true	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
-2	false	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
-2	true	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
-3	false	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
-3	true	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
0	false	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
0	true	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
1	false	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
1	true	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
2	false	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
2	true	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
3	false	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
3	true	sw_pools_peasants_increase	faction_to_faction_own	-96.0	
-1	false	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
-1	true	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
-2	false	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
-2	true	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
-3	false	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
-3	true	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
0	false	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
0	true	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
1	false	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
1	true	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
2	false	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
2	true	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
3	false	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
3	true	sw_pools_foreign_warriors_except_berserkers_increase	faction_to_faction_own	-98.0	
-1	false	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
-1	true	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
-2	false	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
-2	true	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
-3	false	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
-3	true	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
0	false	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
0	true	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
1	false	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
1	true	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
2	false	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
2	true	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
3	false	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
3	true	sw_pools_nobles_except_heroes_increase	faction_to_faction_own	-99.0	
-1	false	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
-1	true	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
-2	false	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
-2	true	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
-3	false	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
-3	true	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
0	false	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
0	true	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
1	false	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
1	true	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
2	false	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
2	true	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
3	false	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
3	true	sw_pools_hunters_increase	faction_to_faction_own	-2.0	
-1	false	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
-1	true	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
-2	false	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
-2	true	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
-3	false	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
-3	true	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
0	false	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
0	true	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
1	false	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
1	true	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
2	false	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
2	true	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
3	false	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
3	true	sw_pools_dogs_increase	faction_to_faction_own	-3.0	
-1	false	sw_pools_siege_increase	faction_to_faction_own	-3.0	
-1	true	sw_pools_siege_increase	faction_to_faction_own	-3.0	
-2	false	sw_pools_siege_increase	faction_to_faction_own	-3.0	
-2	true	sw_pools_siege_increase	faction_to_faction_own	-3.0	
-3	false	sw_pools_siege_increase	faction_to_faction_own	-3.0	
-3	true	sw_pools_siege_increase	faction_to_faction_own	-3.0	
0	false	sw_pools_siege_increase	faction_to_faction_own	-3.0	
0	true	sw_pools_siege_increase	faction_to_faction_own	-3.0	
1	false	sw_pools_siege_increase	faction_to_faction_own	-3.0	
1	true	sw_pools_siege_increase	faction_to_faction_own	-3.0	
2	false	sw_pools_siege_increase	faction_to_faction_own	-3.0	
2	true	sw_pools_siege_increase	faction_to_faction_own	-3.0	
3	false	sw_pools_siege_increase	faction_to_faction_own	-3.0	
3	true	sw_pools_siege_increase	faction_to_faction_own	-3.0	
