effect_bundle	province	season	climate_phase_lower_threshold	default	weighting
#season_province_effect_bundles_tables;1;db/season_province_effect_bundles_tables/shield_season_province_effect_bundles					
shield_season_winter	vik_prov_agmundrenesse	season_winter	0	true	16
shield_season_summer	vik_prov_agmundrenesse	season_summer	0	true	16
shield_season_harvest	vik_prov_agmundrenesse	season_autumn	0	true	16
shield_season_spring	vik_prov_agmundrenesse	season_spring	0	true	16
shield_season_winter	vik_prov_aileach	season_winter	0	true	16
shield_season_summer	vik_prov_aileach	season_summer	0	true	16
shield_season_harvest	vik_prov_aileach	season_autumn	0	true	16
shield_season_spring	vik_prov_aileach	season_spring	0	true	16
shield_season_winter	vik_prov_airer_goidel	season_winter	0	true	16
shield_season_summer	vik_prov_airer_goidel	season_summer	0	true	16
shield_season_harvest	vik_prov_airer_goidel	season_autumn	0	true	16
shield_season_spring	vik_prov_airer_goidel	season_spring	0	true	16
shield_season_winter	vik_prov_airgialla	season_winter	0	true	16
shield_season_summer	vik_prov_airgialla	season_summer	0	true	16
shield_season_harvest	vik_prov_airgialla	season_autumn	0	true	16
shield_season_spring	vik_prov_airgialla	season_spring	0	true	16
shield_season_winter	vik_prov_athfochla	season_winter	0	true	16
shield_season_summer	vik_prov_athfochla	season_summer	0	true	16
shield_season_harvest	vik_prov_athfochla	season_autumn	0	true	16
shield_season_spring	vik_prov_athfochla	season_spring	0	true	16
shield_season_winter	vik_prov_aurmoreb	season_winter	0	true	16
shield_season_summer	vik_prov_aurmoreb	season_summer	0	true	16
shield_season_harvest	vik_prov_aurmoreb	season_autumn	0	true	16
shield_season_spring	vik_prov_aurmoreb	season_spring	0	true	16
shield_season_winter	vik_prov_beornice	season_winter	0	true	16
shield_season_summer	vik_prov_beornice	season_summer	0	true	16
shield_season_harvest	vik_prov_beornice	season_autumn	0	true	16
shield_season_spring	vik_prov_beornice	season_spring	0	true	16
shield_season_winter	vik_prov_brega	season_winter	0	true	16
shield_season_summer	vik_prov_brega	season_summer	0	true	16
shield_season_harvest	vik_prov_brega	season_autumn	0	true	16
shield_season_spring	vik_prov_brega	season_spring	0	true	16
shield_season_winter	vik_prov_breifne	season_winter	0	true	16
shield_season_summer	vik_prov_breifne	season_summer	0	true	16
shield_season_harvest	vik_prov_breifne	season_autumn	0	true	16
shield_season_spring	vik_prov_breifne	season_spring	0	true	16
shield_season_winter	vik_prov_cait	season_winter	0	true	16
shield_season_summer	vik_prov_cait	season_summer	0	true	16
shield_season_harvest	vik_prov_cait	season_autumn	0	true	16
shield_season_spring	vik_prov_cait	season_spring	0	true	16
shield_season_winter	vik_prov_cent	season_winter	0	true	16
shield_season_summer	vik_prov_cent	season_summer	0	true	16
shield_season_harvest	vik_prov_cent	season_autumn	0	true	16
shield_season_spring	vik_prov_cent	season_spring	0	true	16
shield_season_winter	vik_prov_ceredigeaun	season_winter	0	true	16
shield_season_summer	vik_prov_ceredigeaun	season_summer	0	true	16
shield_season_harvest	vik_prov_ceredigeaun	season_autumn	0	true	16
shield_season_spring	vik_prov_ceredigeaun	season_spring	0	true	16
shield_season_winter	vik_prov_circenn	season_winter	0	true	16
shield_season_summer	vik_prov_circenn	season_summer	0	true	16
shield_season_harvest	vik_prov_circenn	season_autumn	0	true	16
shield_season_spring	vik_prov_circenn	season_spring	0	true	16
shield_season_winter	vik_prov_connacht	season_winter	0	true	16
shield_season_summer	vik_prov_connacht	season_summer	0	true	16
shield_season_harvest	vik_prov_connacht	season_autumn	0	true	16
shield_season_spring	vik_prov_connacht	season_spring	0	true	16
shield_season_winter	vik_prov_corcaigh	season_winter	0	true	16
shield_season_summer	vik_prov_corcaigh	season_summer	0	true	16
shield_season_harvest	vik_prov_corcaigh	season_autumn	0	true	16
shield_season_spring	vik_prov_corcaigh	season_spring	0	true	16
shield_season_winter	vik_prov_cumbraland	season_winter	0	true	16
shield_season_summer	vik_prov_cumbraland	season_summer	0	true	16
shield_season_harvest	vik_prov_cumbraland	season_autumn	0	true	16
shield_season_spring	vik_prov_cumbraland	season_spring	0	true	16
shield_season_winter	vik_prov_dal_fiatach	season_winter	0	true	16
shield_season_summer	vik_prov_dal_fiatach	season_summer	0	true	16
shield_season_harvest	vik_prov_dal_fiatach	season_autumn	0	true	16
shield_season_spring	vik_prov_dal_fiatach	season_spring	0	true	16
shield_season_winter	vik_prov_dal_naraidi	season_winter	0	true	16
shield_season_summer	vik_prov_dal_naraidi	season_summer	0	true	16
shield_season_harvest	vik_prov_dal_naraidi	season_autumn	0	true	16
