key	generate	localised_description	localised_title	mission_type	ui_icon	ui_image	prioritised	event_category
#missions_tables;2;db/missions_tables/sw_faction_mechanics								
sw_heroism_defeat_bandits	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_aileach	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_airer_goidel	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_airgialla	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_athfochla	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_bedeborg	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_brechinauc	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_brega	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_breifne	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_caisil	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_cent	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_cerneu	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_circenn	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_connacht	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_defena	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_dene	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_desmuma	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_djurby	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_dorsaete	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_dubgaill	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_dyfet	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_dyflin	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_east_engle	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_east_seaxe	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_finngaill	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
