effect	icon	priority	icon_negative	is_hidden
#effects_tables;3;db/effects_tables/pools				
sw_pools_berserkers_increase	increased_pool_max_axes.png	1	increased_pool_max_axes.png	false
sw_pools_berserkers_rate	replenishment_axe.png	2	replenishment_axe.png	false
sw_pools_bows_increase	increased_pool_max_ranged.png	1	increased_pool_max_ranged.png	false
sw_pools_bows_rate	replenishment_ranged.png	2	replenishment_ranged.png	false
sw_pools_light_infantry_increase	replenishment_pools.png	1	replenishment_pools.png	false
sw_pools_light_infantry_rate	replenishment_pools.png	2	replenishment_pools.png	false
sw_pools_foreign_warriors_increase	increased_pool_max_axes.png	3	increased_pool_max_axes.png	false
sw_pools_foreign_warriors_rate	replenishment_axe.png	4	replenishment_axe.png	false
sw_pools_nobles_increase	replenishment_pools.png	44	replenishment_pools.png	false
sw_pools_nobles_rate	replenishment_pools.png	45	replenishment_pools.png	false
sw_pools_peasants_increase	increased_pool_max.png	46	increased_pool_max.png	false
sw_pools_peasants_rate	replenishment_spear.png	47	replenishment_spear.png	false
sw_pools_foreign_warriors_except_berserkers_increase	increased_pool_max_axes.png	72	increased_pool_max_axes.png	false
sw_pools_foreign_warriors_except_berserkers_rate	replenishment_axe.png	73	replenishment_axe.png	false
sw_pools_nobles_except_heroes_increase	replenishment_pools.png	48	replenishment_pools.png	false
sw_pools_nobles_except_heroes_rate	replenishment_pools.png	49	replenishment_pools.png	false
sw_pools_peasant_infantry_increase	increased_pool_max.png	50	increased_pool_max.png	false
sw_pools_peasant_infantry_rate	replenishment_spear.png	51	replenishment_spear.png	false
sw_pools_peasant_ranged_increase	increased_pool_max_ranged.png	52	increased_pool_max_ranged.png	false
sw_pools_peasant_ranged_rate	replenishment_ranged.png	53	replenishment_ranged.png	false
sw_pools_noble_infantry_not_heroes_increase	replenishment_pools.png	54	replenishment_pools.png	false
sw_pools_noble_infantry_not_heroes_rate	replenishment_pools.png	55	replenishment_pools.png	false
sw_pools_noble_cav_or_ranged_not_heroes_increase	increased_pool_max_cavalry.png	56	increased_pool_max_cavalry.png	false
sw_pools_noble_cav_or_ranged_not_heroes_rate	replenishment_cavalry.png	57	replenishment_cavalry.png	false
sw_pools_heroes_increase	saint_unique.png	58	saint_unique.png	false
sw_pools_heroes_rate	saint_unique.png	59	saint_unique.png	false
sw_pools_thralls_increase	slaves.png	60	slaves.png	false
sw_pools_thralls_rate	slaves.png	61	slaves.png	false
sw_pools_all_axes_except_heroes_increase	increased_pool_max_axes.png	62	increased_pool_max_axes.png	false
sw_pools_all_axes_except_heroes_rate	replenishment_axe.png	63	replenishment_axe.png	false
sw_pools_all_ranged_except_heroes_increase	increased_pool_max_ranged.png	64	increased_pool_max_ranged.png	false
sw_pools_all_ranged_except_heroes_rate	replenishment_ranged.png	65	replenishment_ranged.png	false
sw_pools_all_spears_except_heroes_increase	increased_pool_max.png	66	increased_pool_max.png	false
sw_pools_all_spears_except_heroes_rate	replenishment_spear.png	67	replenishment_spear.png	false
sw_pools_all_swords_except_heroes_increase	replenishment_pools.png	68	replenishment_pools.png	false
sw_pools_all_swords_except_heroes_rate	replenishment_pools.png	69	replenishment_pools.png	false
sw_pools_all_cavalry_except_heroes_increase	increased_pool_max_cavalry.png	70	increased_pool_max_cavalry.png	false
sw_pools_all_cavalry_except_heroes_rate	replenishment_cavalry.png	71	replenishment_cavalry.png	false
sw_pools_all_peasants_except_siege_and_dogs_increase	increased_pool_max.png	72	increased_pool_max.png	false
sw_pools_all_peasants_except_siege_and_dogs_rate	replenishment_spear.png	73	replenishment_spear.png	false
sw_pools_dogs_increase	increased_pool_max_ranged.png	74	increased_pool_max_ranged.png	false
sw_pools_dogs_rate	replenishment_ranged.png	75	replenishment_ranged.png	false
sw_pools_siege_increase	artillery.png	76	artillery.png	false
sw_pools_siege_rate	artillery.png	77	artillery.png	false
sw_pools_hunters_increase	increased_pool_max_ranged.png	78	increased_pool_max_ranged.png	false
sw_pools_hunters_rate	replenishment_ranged.png	79	replenishment_ranged.png	false
