key	accuracy	ammo	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	dismounted_melee_defense	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_animals	animal	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	num_guns	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	chariot	num_chariots	reload	loose_spacing	spotting_and_hiding	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power
#land_units_tables;31;db/land_units_tables/sw_veteran_melee_units																																																			
sw_mrc_vikingar	0	0	sw_leather	2000	inf_melee	18	inf_mel	18	18	9	vik_wel_axes_long	vik_man_sw_axe_shield_javelin_horse	sw_veteran_melee	18	9	16	0		0		0	sw_axe_veteran		4	sw_medium	vik_wel_mailed_axemen_short	melee_inf	mob	false	trained	0	viking_merc_officer			true	45.0	300.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_axemen	vo_battle_unit_generic	vo_battle_unit_generic	1.0	10.0
sw_eng_seax	0	0	sw_leather	2000	inf_melee	14	inf_mel	14	16	24	vik_eng_seaxs_long	vik_man_sw_sword_shield_javelin_horse	sw_veteran_melee	16	24	17	0		0		0	sw_seaxe		5	sw_medium_saxon	vik_eng_seax_warriors_short	melee_inf	mob	false	trained	0	eng_officer_lesser			true	45.0	300.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_swords	vo_battle_unit_generic	vo_battle_unit_generic	1.0	10.0
sw_eng_butsecarl	0	0	sw_leather	2000	inf_melee	22	inf_pik	22	18	36	vik_eng_dane_axes_long	vik_man_falx_javelin_precursor_foot	sw_veteran_melee	18	36	19	0		0		0	sw_dane_axe_veteran		5	sw_none	vik_eng_long_axemen_short	melee_inf	mob	false	poorly_trained	0	eng_officer			true	45.0	300.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_axemen	vo_battle_unit_generic	vo_battle_unit_generic	1.0	10.0
sw_eng_select_fyrd_spear	0	0	sw_mail	2000	inf_melee	10	inf_spr	10	19	29	vik_eng_select_spearmen_long	vik_man_sw_spear_shield_javelin_horse	sw_veteran_melee	19	29	16	0		0		0	sw_spear_levy		5	sw_medium_saxon	vik_eng_select_fyrd_spearmen_short	melee_inf	mob	false	well_trained	0	eng_officer_lesser			true	45.0	300.0	0.0	spear_encourage	30.0	60.0		0	0	false		vo_battle_unit_fyrd	vo_battle_unit_spears	vo_battle_unit_generic	1.0	10.0
sw_est_long_axes	0	0	sw_leather	2000	inf_melee	24	inf_pik	24	18	36	vik_est_dane_axes_long	vik_man_falx_javelin_precursor_foot	sw_veteran_melee	18	36	16	0		0		0	sw_dane_axe_veteran		5	sw_none	vik_est_long_axes_short	melee_inf	mob	false	poorly_trained	0	est_officer			true	45.0	300.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_axemen	vo_battle_unit_generic	vo_battle_unit_generic	1.0	10.0
sw_est_nordmenn_vikingar	0	0	sw_leather	2000	inf_melee	10	inf_spr	10	16	24	vik_all_spear_hirdmen_long	vik_man_sw_spear_shield_javelin_horse	sw_veteran_melee	17	25	16	0		0		0	sw_spear_vikingar		5	sw_medium	vik_est_spear_hirdmen_short	melee_inf	mob	false	well_trained	0	est_officer_vikingar			true	45.0	300.0	0.0	spear_levy	30.0	60.0		0	0	false		vo_battle_unit_raiders	vo_battle_unit_spears	vo_battle_unit_generic	1.0	10.0
sw_dan_vikingar	0	0	sw_leather	2000	inf_melee	18	inf_mel	18	18	9	vik_dan_anglian_champions_long	vik_man_sw_axe_shield_javelin_horse	sw_dan_veteran_melee	18	9	16	0		0		0	sw_axe_veteran		6	sw_medium	vik_dan_anglian_raiders_short	melee_inf	mob	false	trained	0	dan_officer			true	45.0	300.0	0.0	axe	30.0	60.0		0	0	false		vo_battle_unit_raiders	vo_battle_unit_axemen	vo_battle_unit_generic	1.0	10.0
sw_eng_marcher_spear	0	0	sw_leather	2000	inf_melee	13	inf_spr	13	20	30	vik_eng_marcher_spearmen_long	vik_man_sw_spear_shield_javelin_horse	sw_veteran_melee	20	30	15	0		0		0	sw_spear_levy		5	sw_medium_saxon	vik_eng_marcher_spearmen_short	melee_inf	mob	false	trained	0	eng_officer_lesser			true	45.0	300.0	0.0	spear_levy	30.0	60.0		0	0	false		vo_battle_unit_spears	vo_battle_unit_generic	vo_battle_unit_generic	1.0	10.0
sw_sco_pikes	0	0	sw_leather	2000	inf_melee	10	inf_spr	10	17	20	vik_sco_schiltron_long	rome_man_civilian_spear_2h_foot	sw_veteran_melee	17	34	16	0		0		0	sw_pike		5	sw_spear_wall	vik_sco_schiltron_short	melee_inf	mob	false	well_trained	0	sco_officer			true	45.0	300.0	0.0	spear_levy	30.0	60.0		0	0	false		vo_battle_unit_spears	vo_battle_unit_generic	vo_battle_unit_generic	1.0	10.0
