key	building_level	position_index	research_points_required	icon_name	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	mp_available_early	mp_available_late	info_pic	ai_bias	unique_index	cost_per_round	is_civil	is_engineering	is_military	locked_tooltip_progress_key
#technologies_tables;6;db/technologies_tables/shieldwall_technologies																		
vik_mil_bodyguard_1	att_abandoned_0	2	0	vik_tech_bodyguard_1	0	0	0	0	false	false	"placeholder.tga"	0	9296	0	false	false	true	battles_attack
vik_mil_bodyguard_2	att_abandoned_0	2	0	vik_tech_bodyguard_2	0	0	0	0	false	false	"placeholder.tga"	0	9297	0	false	false	true	
vik_mil_bodyguard_3	att_abandoned_0	2	0	vik_tech_trained_bodyguards	0	0	0	0	false	false	"placeholder.tga"	0	9362	0	false	false	true	
vik_mil_bodyguard_4	att_abandoned_0	2	0	vik_tech_bodyguard_3	0	0	0	0	false	false	"placeholder.tga"	0	9302	0	false	false	true	
vik_mil_bodyguard_5	att_abandoned_0	2	0	vik_tech_bodyguard_4	0	0	0	0	false	false	"placeholder.tga"	0	9303	0	false	false	true	
vik_mil_bodyguard_5_here_king	att_abandoned_0	2	0	vik_tech_bodyguard_4	0	0	0	0	false	false	"placeholder.tga"	0	9811	0	false	false	true	
vik_mil_cap_1	att_abandoned_0	2	0	vik_tech_masters_of_sea	0	0	0	0	false	false	"placeholder.tga"	0	9670	0	false	false	true	
vik_mil_cap_2	att_abandoned_0	2	0	vik_tech_maritime_navigation	0	0	0	0	false	false	"placeholder.tga"	0	9676	0	false	false	true	
vik_mil_cap_3	att_abandoned_0	2	0	vik_tech_melee_special	0	0	0	0	false	false	"placeholder.tga"	0	9677	0	false	false	true	
vik_mil_cap_4	att_abandoned_0	2	0	vik_tech_increase_cap_cavalry	0	0	0	0	false	false	"placeholder.tga"	0	9685	0	false	false	true	
vik_mil_cavalry_1	att_abandoned_0	2	0	vik_tech_cavalry_special	0	0	0	0	false	false	"placeholder.tga"	0	9267	0	false	false	true	cavalry_recruited
vik_mil_cavalry_2	att_abandoned_0	2	0	vik_tech_horse_breeding	0	0	0	0	false	false	"placeholder.tga"	0	9273	0	false	false	true	cavalry_recruited
vik_mil_cavalry_2_english_vikings	att_abandoned_0	2	0	vik_tech_horse_breeding	0	0	0	0	false	false	"placeholder.tga"	0	9917	0	false	false	true	cavalry_recruited
vik_mil_cavalry_3	att_abandoned_0	2	0	vik_tech_horsemen_training	0	0	0	0	false	false	"placeholder.tga"	0	9274	0	false	false	true	
vik_mil_cavalry_4	att_abandoned_0	2	0	vik_tech_bodyguard_4	0	0	0	0	false	false	"placeholder.tga"	0	9943	0	false	false	true	
vik_mil_cavalry_4_english_vikings	att_abandoned_0	2	0	vik_tech_bodyguard_4	0	0	0	0	false	false	"placeholder.tga"	0	9919	0	false	false	true	
vik_mil_cavalry_4_wales_gaelic	att_abandoned_0	2	0	vik_tech_bodyguard_4	0	0	0	0	false	false	"placeholder.tga"	0	9275	0	false	false	true	
