choice_key	dilemma_key
#cdir_events_dilemma_choice_details_tables;0;db/cdir_events_dilemma_choice_details_tables/sw_pop_update_new_region_dilemmas	
FIRST	sw_training_toolmakers_2_vik_reg_colneceaster
SECOND	sw_training_toolmakers_2_vik_reg_cetretha
SECOND	sw_training_toolmakers_2_vik_reg_colneceaster
FIRST	sw_training_toolmakers_2_vik_reg_ceaster
FIRST	sw_training_toolmakers_2_vik_reg_cippanhamm
SECOND	sw_training_toolmakers_2_vik_reg_cippanhamm
SECOND	sw_training_toolmakers_2_vik_reg_ceaster
SECOND	sw_training_toolmakers_2_vik_reg_casteltoun
FIRST	sw_training_toolmakers_2_vik_reg_cetretha
FIRST	sw_training_toolmakers_2_vik_reg_carleol
FIRST	sw_training_toolmakers_2_vik_reg_cathair_commain
SECOND	sw_training_toolmakers_2_vik_reg_cathair_commain
SECOND	sw_training_toolmakers_2_vik_reg_carleol
SECOND	sw_training_toolmakers_2_vik_reg_caisil
FIRST	sw_training_toolmakers_2_vik_reg_casteltoun
FIRST	sw_training_toolmakers_2_vik_reg_cair_gwent
FIRST	sw_training_toolmakers_2_vik_reg_cantwaraburg
SECOND	sw_training_toolmakers_2_vik_reg_cantwaraburg
SECOND	sw_training_toolmakers_2_vik_reg_cair_gwent
SECOND	sw_training_toolmakers_2_vik_reg_blascona
FIRST	sw_training_toolmakers_2_vik_reg_caisil
FIRST	sw_training_toolmakers_2_vik_reg_bebbanburg
FIRST	sw_training_toolmakers_2_vik_reg_bornais
SECOND	sw_training_toolmakers_2_vik_reg_bornais
SECOND	sw_training_toolmakers_2_vik_reg_bebbanburg
SECOND	sw_training_toolmakers_2_vik_reg_aethelingaeg
FIRST	sw_training_toolmakers_2_vik_reg_blascona
FIRST	sw_training_toolmakers_2_vik_reg_achadh_bo
FIRST	sw_training_toolmakers_2_vik_reg_airchardan
SECOND	sw_training_toolmakers_2_vik_reg_airchardan
SECOND	sw_training_toolmakers_2_vik_reg_achadh_bo
SECOND	sw_training_toolmakers_2_vik_reg_aberffro
FIRST	sw_training_toolmakers_2_vik_reg_aethelingaeg
FIRST	sw_training_toolmakers_1_vik_reg_wintanceaster
FIRST	sw_training_toolmakers_2_vik_reg_aberteifi
SECOND	sw_training_toolmakers_2_vik_reg_aberteifi
SECOND	sw_training_toolmakers_1_vik_reg_wintanceaster
SECOND	sw_training_toolmakers_1_vik_reg_waerincwicum
FIRST	sw_training_toolmakers_2_vik_reg_aberffro
FIRST	sw_training_toolmakers_1_vik_reg_veisafjordr
FIRST	sw_training_toolmakers_1_vik_reg_werham
SECOND	sw_training_toolmakers_1_vik_reg_werham
SECOND	sw_training_toolmakers_1_vik_reg_veisafjordr
SECOND	sw_training_toolmakers_1_vik_reg_tor_in_duine
FIRST	sw_training_toolmakers_1_vik_reg_waerincwicum
FIRST	sw_training_toolmakers_1_vik_reg_tintagol
FIRST	sw_training_toolmakers_1_vik_reg_vedrafjordr
SECOND	sw_training_toolmakers_1_vik_reg_vedrafjordr
SECOND	sw_training_toolmakers_1_vik_reg_tintagol
SECOND	sw_training_toolmakers_1_vik_reg_steanford
FIRST	sw_training_toolmakers_1_vik_reg_tor_in_duine
FIRST	sw_training_toolmakers_1_vik_reg_snotingaham
FIRST	sw_training_toolmakers_1_vik_reg_tamworthige
SECOND	sw_training_toolmakers_1_vik_reg_tamworthige
SECOND	sw_training_toolmakers_1_vik_reg_snotingaham
SECOND	sw_training_toolmakers_1_vik_reg_scoan
FIRST	sw_training_toolmakers_1_vik_reg_steanford
FIRST	sw_training_toolmakers_1_vik_reg_rendlesham
FIRST	sw_training_toolmakers_1_vik_reg_seolesigge
SECOND	sw_training_toolmakers_1_vik_reg_seolesigge
SECOND	sw_training_toolmakers_1_vik_reg_rendlesham
SECOND	sw_training_toolmakers_1_vik_reg_northwic
FIRST	sw_training_toolmakers_1_vik_reg_scoan
FIRST	sw_training_toolmakers_1_vik_reg_northhamtun
FIRST	sw_training_toolmakers_1_vik_reg_rath_cruachan
SECOND	sw_training_toolmakers_1_vik_reg_rath_cruachan
SECOND	sw_training_toolmakers_1_vik_reg_northhamtun
SECOND	sw_training_toolmakers_1_vik_reg_mameceaster
FIRST	sw_training_toolmakers_1_vik_reg_northwic
FIRST	sw_training_toolmakers_1_vik_reg_lunden
FIRST	sw_training_toolmakers_1_vik_reg_nas
SECOND	sw_training_toolmakers_1_vik_reg_nas
SECOND	sw_training_toolmakers_1_vik_reg_lunden
SECOND	sw_training_toolmakers_1_vik_reg_lindcylne
FIRST	sw_training_toolmakers_1_vik_reg_mameceaster
FIRST	sw_training_toolmakers_1_vik_reg_ioua
FIRST	sw_training_toolmakers_1_vik_reg_loidis
SECOND	sw_training_toolmakers_1_vik_reg_loidis
SECOND	sw_training_toolmakers_1_vik_reg_ioua
SECOND	sw_training_toolmakers_1_vik_reg_hlymrekr
FIRST	sw_training_toolmakers_1_vik_reg_lindcylne
FIRST	sw_training_toolmakers_1_vik_reg_haestingas
FIRST	sw_training_toolmakers_1_vik_reg_inis_faithlenn
SECOND	sw_training_toolmakers_1_vik_reg_inis_faithlenn
SECOND	sw_training_toolmakers_1_vik_reg_haestingas
SECOND	sw_training_toolmakers_1_vik_reg_grianan_aileach
FIRST	sw_training_toolmakers_1_vik_reg_hlymrekr
FIRST	sw_training_toolmakers_1_vik_reg_grantabrycg
FIRST	sw_training_toolmakers_1_vik_reg_guvan
SECOND	sw_training_toolmakers_1_vik_reg_guvan
SECOND	sw_training_toolmakers_1_vik_reg_grantabrycg
SECOND	sw_training_toolmakers_1_vik_reg_exanceaster
FIRST	sw_training_toolmakers_1_vik_reg_grianan_aileach
SECOND	sw_training_toolmakers_1_vik_reg_eoferwic
FIRST	sw_training_toolmakers_1_vik_reg_gleawceaster
SECOND	sw_training_toolmakers_1_vik_reg_gleawceaster
SECOND	sw_training_toolmakers_1_vik_reg_eidenburg
FIRST	sw_training_toolmakers_1_vik_reg_eoferwic
FIRST	sw_training_toolmakers_1_vik_reg_exanceaster
SECOND	sw_training_toolmakers_1_vik_reg_dun_sebuirgi
SECOND	sw_training_toolmakers_1_vik_reg_dyflin
FIRST	sw_training_toolmakers_1_vik_reg_eidenburg
