anti_religion	religion
#religion_anti_religion_junctions_tables;0;db/religion_anti_religion_junctions_tables/religion_anti_religion_junctions	
vik_religion_freeland	vik_religion_banditry
vik_religion_caisil	vik_religion_caisil_usurpers
vik_religion_caisil_usurpers	vik_religion_caisil
vik_religion_scoan	vik_religion_circenn_usurpers
vik_religion_dyflin	vik_religion_dyflin_usurpers
vik_religion_dyflin_usurpers	vik_religion_dyflin
vik_religion_east_engle_usurpers	vik_religion_east_angla
vik_religion_east_angla	vik_religion_east_engle_usurpers
vik_religion_banditry	vik_religion_freeland
vik_religion_gwined	vik_religion_gwined_usurpers
vik_religion_gwined_usurpers	vik_religion_gwined
vik_religion_hellirborg	vik_religion_hellirborg_usurpers
vik_religion_hellirborg_usurpers	vik_religion_hellirborg
vik_religion_hlymrekr	vik_religion_hlymrekr_usurpers
vik_religion_hlymrekr_usurpers	vik_religion_hlymrekr
vik_religion_midhe	vik_religion_mide_usurpers
vik_religion_mide_usurpers	vik_religion_midhe
vik_religion_miercna	vik_religion_mierce_usurpers
vik_religion_mierce_usurpers	vik_religion_miercna
vik_religion_northleode	vik_religion_northleode_usurpers
vik_religion_northleode_usurpers	vik_religion_northleode
vik_religion_northymbre_usurpers	vik_religion_northymbra
vik_religion_northymbra	vik_religion_northymbre_usurpers
vik_religion_circenn_usurpers	vik_religion_scoan
vik_religion_seisilwig	vik_religion_seisilwig_usurpers
vik_religion_seisilwig_usurpers	vik_religion_seisilwig
vik_religion_strat_clut	vik_religion_strat_clut_usurpers
vik_religion_strat_clut_usurpers	vik_religion_strat_clut
vik_religion_sudreyar	vik_religion_sudreyar_usurpers
vik_religion_sudreyar_usurpers	vik_religion_sudreyar
vik_religion_westsexa	vik_religion_west_seaxe_usurpers
vik_religion_west_seaxe_usurpers	vik_religion_westsexa
