key	level	trait	threshold_points
#character_trait_levels_tables;0;db/character_trait_levels_tables/shield_character_trait_levels			
shield_brute_bloodythirsty	1	shield_brute_bloodythirsty	1
shield_brute_corrupt	1	shield_brute_corrupt	1
shield_brute_legendary_brute	1	shield_brute_legendary_brute	1
shield_brute_violent	1	shield_brute_violent	1
shield_elder_beloved	1	shield_elder_beloved	1
shield_elder_dutifull	1	shield_elder_dutifull	1
shield_elder_husbandman	1	shield_elder_husbandman	1
shield_elder_legendary_elder	1	shield_elder_legendary_elder	1
shield_elder_storyteller	1	shield_elder_storyteller	1
shield_faithful_charitable	1	shield_faithful_charitable	1
shield_faithful_friend_of_the_church	1	shield_faithful_friend_of_the_church	1
shield_faithful_legendary_saint	1	shield_faithful_legendary_saint	1
shield_faithful_repentent	1	shield_faithful_repentent	1
shield_heathen_beast_slayer	1	shield_heathen_beast_slayer	1
shield_heathen_legendary_bearskin	1	shield_heathen_legendary_bearskin	1
shield_heathen_legendary_wolfskin	1	shield_heathen_legendary_wolfskin	1
shield_heathen_old_ways	1	shield_heathen_old_ways	1
shield_heathen_pagan	1	shield_heathen_pagan	1
shield_heathen_sailor	1	shield_heathen_sailor	1
shield_judge_honourable	1	shield_judge_honourable	1
shield_judge_just	1	shield_judge_just	1
shield_judge_lawful	1	shield_judge_lawful	1
shield_judge_legendary_judge	1	shield_judge_legendary_judge	1
shield_magnate_collector	1	shield_magnate_collector	1
shield_magnate_greedy	1	shield_magnate_greedy	1
shield_magnate_legendary_magnate	1	shield_magnate_legendary_magnate	1
shield_magnate_seneschal	1	shield_magnate_seneschal	1
shield_noble_high_born	1	shield_noble_high_born	1
shield_noble_hunter	1	shield_noble_hunter	1
shield_noble_legendary_king	1	shield_noble_legendary_king	1
shield_noble_princely	1	shield_noble_princely	1
shield_noble_proud	1	shield_noble_proud	1
shield_scholar_educated	1	shield_scholar_educated	1
shield_scholar_lawyer	1	shield_scholar_lawyer	1
shield_scholar_legendary_thinker	1	shield_scholar_legendary_thinker	1
shield_scholar_wise	1	shield_scholar_wise	1
shield_tyrant_legendary_tyrant	1	shield_tyrant_legendary_tyrant	1
shield_tyrant_oppressor	1	shield_tyrant_oppressor	1
shield_tyrant_subjugator	1	shield_tyrant_subjugator	1
shield_tyrant_treasonous	1	shield_tyrant_treasonous	1
shield_warrior_champion	1	shield_warrior_champion	1
shield_warrior_legendary_warrior	1	shield_warrior_legendary_warrior	1
shield_warrior_natural_leader	1	shield_warrior_natural_leader	1
shield_warrior_proven_warrior	1	shield_warrior_proven_warrior	1
shield_item_st_oswald	1	shield_item_st_oswald	1
shield_item_stag_rack	1	shield_item_stag_rack	1
shield_item_boarskin	1	shield_item_boarskin	1
shield_item_bearskin	1	shield_item_bearskin	1
shield_item_wolfskin	1	shield_item_wolfskin	1
