key	level	trait	threshold_points
#character_trait_levels_tables;0;db/character_trait_levels_tables/king_titles			
shield_leader_titles_king	1	shield_leader_titles_king	1
shield_leader_titles_vassal	1	shield_leader_titles_vassal	1
shield_leader_titles_vik_fact_circenn_0	1	shield_leader_titles_vik_fact_circenn_0	1
shield_leader_titles_vik_fact_circenn_1	1	shield_leader_titles_vik_fact_circenn_1	1
shield_leader_titles_vik_fact_circenn_2	1	shield_leader_titles_vik_fact_circenn_2	1
shield_leader_titles_vik_fact_dyflin_0	1	shield_leader_titles_vik_fact_dyflin_0	1
shield_leader_titles_vik_fact_dyflin_1	1	shield_leader_titles_vik_fact_dyflin_1	1
shield_leader_titles_vik_fact_dyflin_2	1	shield_leader_titles_vik_fact_dyflin_2	1
shield_leader_titles_vik_fact_east_engle_0	1	shield_leader_titles_vik_fact_east_engle_0	1
shield_leader_titles_vik_fact_east_engle_1	1	shield_leader_titles_vik_fact_east_engle_1	1
shield_leader_titles_vik_fact_east_engle_2	1	shield_leader_titles_vik_fact_east_engle_2	1
shield_leader_titles_vik_fact_gwined_0	1	shield_leader_titles_vik_fact_gwined_0	1
shield_leader_titles_vik_fact_gwined_1	1	shield_leader_titles_vik_fact_gwined_1	1
shield_leader_titles_vik_fact_gwined_2	1	shield_leader_titles_vik_fact_gwined_2	1
shield_leader_titles_vik_fact_mide_0	1	shield_leader_titles_vik_fact_mide_0	1
shield_leader_titles_vik_fact_mide_1	1	shield_leader_titles_vik_fact_mide_1	1
shield_leader_titles_vik_fact_mide_2	1	shield_leader_titles_vik_fact_mide_2	1
shield_leader_titles_vik_fact_mierce_0	1	shield_leader_titles_vik_fact_mierce_0	1
shield_leader_titles_vik_fact_mierce_1	1	shield_leader_titles_vik_fact_mierce_1	1
shield_leader_titles_vik_fact_mierce_2	1	shield_leader_titles_vik_fact_mierce_2	1
shield_leader_titles_vik_fact_northymbre_0	1	shield_leader_titles_vik_fact_northymbre_0	1
shield_leader_titles_vik_fact_northymbre_1	1	shield_leader_titles_vik_fact_northymbre_1	1
shield_leader_titles_vik_fact_northymbre_2	1	shield_leader_titles_vik_fact_northymbre_2	1
shield_leader_titles_vik_fact_strat_clut_0	1	shield_leader_titles_vik_fact_strat_clut_0	1
shield_leader_titles_vik_fact_strat_clut_1	1	shield_leader_titles_vik_fact_strat_clut_1	1
shield_leader_titles_vik_fact_strat_clut_2	1	shield_leader_titles_vik_fact_strat_clut_2	1
shield_leader_titles_vik_fact_sudreyar_0	1	shield_leader_titles_vik_fact_sudreyar_0	1
shield_leader_titles_vik_fact_sudreyar_1	1	shield_leader_titles_vik_fact_sudreyar_1	1
shield_leader_titles_vik_fact_sudreyar_2	1	shield_leader_titles_vik_fact_sudreyar_2	1
shield_leader_titles_vik_fact_west_seaxe_0	1	shield_leader_titles_vik_fact_west_seaxe_0	1
shield_leader_titles_vik_fact_west_seaxe_1	1	shield_leader_titles_vik_fact_west_seaxe_1	1
shield_leader_titles_vik_fact_west_seaxe_2	1	shield_leader_titles_vik_fact_west_seaxe_2	1
shield_leader_titles_vik_fact_northleode_0	1	shield_leader_titles_vik_fact_northleode_0	1
shield_leader_titles_vik_fact_northleode_1	1	shield_leader_titles_vik_fact_northleode_1	1
shield_leader_titles_vik_fact_northleode_2	1	shield_leader_titles_vik_fact_northleode_2	1
