battle_context_key	faction_key
#campaign_bonus_value_battle_context_faction_junctions_tables;0;db/campaign_bonus_value_battle_context_faction_junctions_tables/decrees	
sw_fighting_against_vikings	vik_fact_bedeborg
sw_fighting_against_vikings	vik_fact_djurby
sw_fighting_against_vikings	vik_fact_east_engle
sw_fighting_against_vikings	vik_fact_grantebru
sw_fighting_against_vikings	vik_fact_heimiliborg
sw_fighting_against_vikings	vik_fact_hellirborg
sw_fighting_against_vikings	vik_fact_holdrness
sw_fighting_against_vikings	vik_fact_hylrborg
sw_fighting_against_vikings	vik_fact_ledeborg
sw_fighting_against_vikings	vik_fact_northymbre
sw_fighting_against_vikings	vik_fact_separatists_east_engle
sw_fighting_against_vikings	vik_fact_separatists_northymbre
sw_fighting_against_vikings	vik_fact_steinnborg
sw_fighting_against_vikings	vik_fact_veidrborg
sw_fighting_against_vikings	vik_fact_dene
sw_fighting_against_vikings	vik_fact_dubgaill
sw_fighting_against_vikings	vik_fact_finngaill
sw_fighting_against_vikings	vik_fact_haeden
sw_fighting_against_vikings	vik_fact_jorvik
sw_fighting_against_vikings	vik_fact_nordmann
sw_fighting_against_vikings	vik_fact_normaunds
sw_fighting_against_vikings	vik_fact_norse
sw_fighting_against_vikings	vik_fact_rebels_viking
sw_fighting_against_vikings	vik_fact_separatists_viking
sw_fighting_against_vikings	vik_fact_wicing
sw_fighting_against_vikings	vik_fact_dyflin
sw_fighting_against_vikings	vik_fact_gallgoidel
sw_fighting_against_vikings	vik_fact_hlymrekr
sw_fighting_against_vikings	vik_fact_myrrborg
sw_fighting_against_vikings	vik_fact_orkneyar
sw_fighting_against_vikings	vik_fact_separatists_dyflin
sw_fighting_against_vikings	vik_fact_separatists_sudreyar
sw_fighting_against_vikings	vik_fact_sudreyar
sw_fighting_against_vikings	vik_fact_vedrafjordr
sw_fighting_against_vikings	vik_fact_veisafjordr
sw_fighting_against_scots	vik_fact_airer_goidel
sw_fighting_against_scots	vik_fact_athfochla
sw_fighting_against_scots	vik_fact_circenn
sw_fighting_against_scots	vik_fact_fortriu
sw_fighting_against_scots	vik_fact_rebels_scottish
sw_fighting_against_scots	vik_fact_separatists_circenn
sw_fighting_against_scots	vik_fact_separatists_scottish
