id	choice_key	dilemma_key	payload_key	value
#cdir_events_dilemma_payloads_tables;2;db/cdir_events_dilemma_payloads_tables/sw_pop_update_new_region_dilemmas				
27272701	FIRST	sw_foreign_displacement_vik_reg_aberffro	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272702	FIRST	sw_foreign_displacement_vik_reg_aberffro	TARGET	EVENT
27272703	FIRST	sw_foreign_displacement_vik_reg_aberffro	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272704	SECOND	sw_foreign_displacement_vik_reg_aberffro	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272705	THIRD	sw_foreign_displacement_vik_reg_aberffro	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272706	FIRST	sw_foreign_displacement_vik_reg_aberffro	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272707	FIRST	sw_foreign_displacement_vik_reg_aberffro	TARGET	EVENT
27272708	FIRST	sw_foreign_displacement_vik_reg_aberffro	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272709	SECOND	sw_foreign_displacement_vik_reg_aberffro	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272710	THIRD	sw_foreign_displacement_vik_reg_aberffro	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272711	FIRST	sw_foreign_displacement_vik_reg_aberteifi	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272712	FIRST	sw_foreign_displacement_vik_reg_aberteifi	TARGET	EVENT
27272713	FIRST	sw_foreign_displacement_vik_reg_aberteifi	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272714	SECOND	sw_foreign_displacement_vik_reg_aberteifi	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272715	THIRD	sw_foreign_displacement_vik_reg_aberteifi	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272716	FIRST	sw_foreign_displacement_vik_reg_aberteifi	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272717	FIRST	sw_foreign_displacement_vik_reg_aberteifi	TARGET	EVENT
27272718	FIRST	sw_foreign_displacement_vik_reg_aberteifi	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272719	SECOND	sw_foreign_displacement_vik_reg_aberteifi	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272720	THIRD	sw_foreign_displacement_vik_reg_aberteifi	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272721	FIRST	sw_foreign_displacement_vik_reg_achadh_bo	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272722	FIRST	sw_foreign_displacement_vik_reg_achadh_bo	TARGET	EVENT
27272723	FIRST	sw_foreign_displacement_vik_reg_achadh_bo	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272724	SECOND	sw_foreign_displacement_vik_reg_achadh_bo	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272725	THIRD	sw_foreign_displacement_vik_reg_achadh_bo	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272726	FIRST	sw_foreign_displacement_vik_reg_achadh_bo	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272727	FIRST	sw_foreign_displacement_vik_reg_achadh_bo	TARGET	EVENT
27272728	FIRST	sw_foreign_displacement_vik_reg_achadh_bo	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272729	SECOND	sw_foreign_displacement_vik_reg_achadh_bo	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272730	THIRD	sw_foreign_displacement_vik_reg_achadh_bo	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272731	FIRST	sw_foreign_displacement_vik_reg_aethelingaeg	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272732	FIRST	sw_foreign_displacement_vik_reg_aethelingaeg	TARGET	EVENT
27272733	FIRST	sw_foreign_displacement_vik_reg_aethelingaeg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272734	SECOND	sw_foreign_displacement_vik_reg_aethelingaeg	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272735	THIRD	sw_foreign_displacement_vik_reg_aethelingaeg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272736	FIRST	sw_foreign_displacement_vik_reg_aethelingaeg	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272737	FIRST	sw_foreign_displacement_vik_reg_aethelingaeg	TARGET	EVENT
27272738	FIRST	sw_foreign_displacement_vik_reg_aethelingaeg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272739	SECOND	sw_foreign_displacement_vik_reg_aethelingaeg	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272740	THIRD	sw_foreign_displacement_vik_reg_aethelingaeg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272741	FIRST	sw_foreign_displacement_vik_reg_airchardan	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272742	FIRST	sw_foreign_displacement_vik_reg_airchardan	TARGET	EVENT
27272743	FIRST	sw_foreign_displacement_vik_reg_airchardan	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272744	SECOND	sw_foreign_displacement_vik_reg_airchardan	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272745	THIRD	sw_foreign_displacement_vik_reg_airchardan	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272746	FIRST	sw_foreign_displacement_vik_reg_airchardan	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272747	FIRST	sw_foreign_displacement_vik_reg_airchardan	TARGET	EVENT
27272748	FIRST	sw_foreign_displacement_vik_reg_airchardan	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272749	SECOND	sw_foreign_displacement_vik_reg_airchardan	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272750	THIRD	sw_foreign_displacement_vik_reg_airchardan	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
