unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/sw_shield_main_units																															
dan_anglian_champions		0	medium	1	false	dan_anglian_champions	160	0	10000	vik_byrdingr	1	20	200	0	10000			5000	medium	-1		false	false	0	14255	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	2
dan_anglian_marauders		0	medium	1	false	dan_anglian_marauders	80	1	240	vik_byrdingr	1	20	200	0	240			120	very_heavy	1		false	false	0	14314	true		vo_subculture_viking_nordic	shieldwall_mercenary	att_special_transportship_naval	1
dan_anglian_raiders		0	medium	1	false	dan_anglian_raiders	120	0	175	vik_byrdingr	1	20	200	0	175			90	medium	-1		false	false	0	14367	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	2
dan_archers		0	light	1	false	dan_archers	60	0	80	vik_byrdingr_mis	1	20	200	0	80			25	light	-1		false	false	0	14196	true		vo_subculture_viking_nordic	att_inf_bow_land	att_special_transportship_naval	2
dan_armoured_archers		0	medium	1	false	dan_armoured_archers	80	0	10000	vik_byrdingr_mis	1	20	200	0	10000			5000	medium	-1		false	false	0	14205	true		vo_subculture_viking_nordic	att_inf_bow_land	att_special_transportship_naval	1
dan_axemen		0	light	1	false	dan_axemen	160	0	185	vik_byrdingr	1	20	200	0	185			100	light	-1		false	false	0	14208	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	1
dan_berserkers		0	heavy	1	false	dan_berserkers	24	1	355	vik_byrdingr	1	20	200	0	355			180	super_heavy	-1		false	false	0	14218	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	3
dan_catapult		0	light	1	false	dan_catapult	40	0	200	vik_byrdingr	1	20	200	0	200			100	light	-1		false	false	0	14222	true		vo_subculture_viking_english	att_art_field_land	att_special_transportship_naval	1
dan_ceorl_archers		0	light	1	false	dan_ceorl_archers	32	0	120	vik_byrdingr_mis	1	20	200	0	120			60	light	-1		false	false	0	14224	true		vo_subculture_viking_nordic	att_inf_bow_land	att_special_transportship_naval	1
dan_ceorl_axemen		0	light	1	false	dan_ceorl_axemen	160	0	110	vik_byrdingr	1	20	200	0	110			60	light	-1		false	false	0	14234	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	1
dan_ceorl_javelinmen		0	light	1	false	dan_ceorl_javelinmen	60	0	70	vik_byrdingr_mis	1	20	200	0	70			40	very_light	-1		false	false	0	14244	true		vo_subculture_viking_nordic	att_inf_javelin_land	att_special_transportship_naval	1
dan_ceorl_spearmen		0	light	1	false	dan_ceorl_spearmen	160	0	65	vik_byrdingr	1	20	200	0	65			20	light	-1		false	false	0	14248	true		vo_subculture_viking_nordic	att_inf_spear_land	att_special_transportship_naval	1
dan_danelaw_huscarls		0	heavy	1	false	dan_danelaw_huscarls	160	2	10000	vik_byrdingr	1	20	200	0	10000			5000	heavy	-1		false	false	0	14257	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	2
dan_fyrd_archers		0	light	1	false	dan_fyrd_archers	40	0	120	vik_byrdingr_mis	1	20	200	0	120			60	very_light	-1		false	false	0	14266	true		vo_subculture_viking_nordic	att_inf_sling_land	att_special_transportship_naval	1
dan_fyrd_spearmen		0	light	1	false	dan_fyrd_spearmen	160	0	10000	vik_byrdingr	1	20	200	0	10000			5000	light	-1		false	false	0	15972	true		vo_subculture_viking_nordic	att_inf_spear_land	att_special_transportship_naval	1
dan_great_axemen		0	light	1	false	dan_great_axemen	160	0	180	vik_byrdingr	1	20	200	0	180			90	light	-1		false	false	0	14268	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	2
dan_huscarls		0	heavy	1	false	dan_huscarls	80	2	295	vik_byrdingr	1	20	200	0	295			170	heavy	-1		false	false	0	14277	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	2
dan_jarls_horsemen		0	medium	1	false	dan_jarls_horsemen	48	2	340	vik_byrdingr_mis	1	20	200	0	340			170	heavy	-1		false	false	0	14278	true		vo_subculture_viking_nordic	att_cav_melee_land	att_special_transportship_naval	2
dan_jarls_huscarls		0	heavy	1	false	dan_jarls_huscarls	48	1	275	vik_byrdingr	1	20	200	0	275			140	very_heavy	1		false	false	0	14283	true		vo_subculture_viking_nordic	shieldwall_mercenary	att_special_transportship_naval	1
dan_javelinmen		0	light	1	false	dan_javelinmen	60	0	110	vik_byrdingr_mis	1	20	200	0	110			60	light	-1		false	false	0	14294	true		vo_subculture_viking_nordic	att_inf_javelin_land	att_special_transportship_naval	1
dan_long_axemen		0	light	1	false	dan_long_axemen	160	0	170	vik_byrdingr	1	20	200	0	170			90	light	-1		false	false	0	14298	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	1
dan_mailed_archers		0	medium	1	false	dan_mailed_archers	80	0	10000	vik_byrdingr_mis	1	20	200	0	10000			5000	medium	-1		false	false	0	14300	true		vo_subculture_viking_nordic	att_inf_bow_land	att_special_transportship_naval	2
dan_mailed_horsemen		0	medium	1	false	dan_mailed_horsemen	48	1	445	vik_byrdingr	1	20	200	0	445			230	very_heavy	1		false	false	0	14306	true		vo_subculture_viking_nordic	shieldwall_mercenary	att_special_transportship_naval	2
dan_mailed_swordsmen		0	medium	1	false	dan_mailed_swordsmen	40	1	335	vik_byrdingr	1	20	200	0	335			170	super_heavy	-1		false	false	0	14311	true		vo_subculture_viking_nordic	att_inf_sword_land	att_special_transportship_naval	3
dan_northumbrian_mailed_thegns		0	medium	1	false	dan_northumbrian_mailed_thegns	80	1	275	vik_byrdingr	1	20	200	0	275			140	very_heavy	1		false	false	0	14309	true		vo_subculture_viking_english	shieldwall_mercenary	att_special_transportship_naval	2
dan_northumbrian_thegns		0	medium	1	false	dan_northumbrian_thegns	120	2	285	vik_byrdingr	1	20	200	0	285			150	heavy	-1		false	false	0	14361	true		vo_subculture_viking_nordic	att_inf_spear_land	att_special_transportship_naval	2
dan_royal_huscarls		0	heavy	1	false	dan_royal_huscarls	40	1	350	vik_dreki	1	20	200	0	350			150	very_heavy	-1		false	false	0	14321	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	3
dan_scout_horsemen		0	light	1	false	dan_scout_horsemen	24	0	45	vik_byrdingr	1	20	200	0	45			30	light	-1		false	false	0	14324	true		vo_subculture_viking_nordic	att_cav_melee_land	att_special_transportship_naval	1
dan_shield_biters		0	heavy	1	false	dan_shield_biters	40	1	315	vik_byrdingr	1	20	200	0	315			160	heavy	-1		false	false	0	14331	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	1
dan_spearmen		0	light	1	false	dan_spearmen	160	0	95	vik_byrdingr	1	20	200	0	95			50	light	-1		false	false	0	14333	true		vo_subculture_viking_nordic	att_inf_spear_land	att_special_transportship_naval	1
dan_sword_hersir		0	medium	1	false	dan_sword_hersir	80	2	280	vik_byrdingr	1	20	200	0	280			140	heavy	-1		false	false	0	14339	true		vo_subculture_viking_nordic	att_inf_sword_land	att_special_transportship_naval	1
dan_sword_hirdmen		0	medium	1	false	dan_sword_hirdmen	120	2	275	vik_byrdingr	1	20	200	0	305			145	heavy	-1		false	false	0	14347	true		vo_subculture_viking_nordic	att_inf_sword_land	att_special_transportship_naval	2
dan_thegn_horsemen		0	medium	1	false	dan_thegn_horsemen	60	0	10000	vik_byrdingr	1	20	200	0	10000			5000	medium	-1		false	false	0	14352	true		vo_subculture_viking_nordic	att_cav_melee_land	att_special_transportship_naval	1
dan_warlords_companions		0	heavy	1	false	dan_warlords_companions	40	1	320	vik_dreki	1	20	200	0	320			160	very_heavy	-1		false	false	0	14375	true		vo_subculture_viking_nordic	att_inf_sword_land	att_special_transportship_naval	3
eng_catapult		0	light	1	false	eng_catapult	40	0	200	vik_sae_wylfing	1	20	200	0	200			100	light	-1		false	false	0	14379	true		vo_subculture_viking_english	att_art_field_land	att_special_transportship_naval	1
eng_ceorl_archers		0	light	1	false	eng_ceorl_archers	60	0	75	vik_sae_wylfing_mis	1	20	200	0	75			20	light	-1		false	false	0	14380	true		vo_subculture_viking_english	att_inf_bow_land	att_special_transportship_naval	1
eng_ceorl_axemen		0	light	1	false	eng_ceorl_axemen	160	0	95	vik_sae_wylfing	1	20	200	0	95			30	light	-1		false	false	0	14383	true		vo_subculture_viking_english	att_inf_axe_land	att_special_transportship_naval	1
eng_ceorl_javelinmen		0	light	1	false	eng_ceorl_javelinmen	60	0	70	vik_sae_wylfing_mis	1	20	200	0	70			20	light	-1		false	false	0	14392	true		vo_subculture_viking_english	att_inf_javelin_land	att_special_transportship_naval	1
