effect	icon	priority	icon_negative	is_hidden
#effects_tables;3;db/effects_tables/skills				
vik_general_bodyguard_damage_mod	melee_damage.png	220	melee_damage.png	false
vik_general_bodyguard_damage_ap_mod	melee_damage.png	221	melee_damage.png	false
sw_supply_lines_governor_effect	vik_warehouse_effect_bundles.png	30	vik_warehouse_effect_bundles.png	false
sw_supply_lines_general_effect	vik_warehouse_effect_bundles.png	31	vik_warehouse_effect_bundles.png	false
sw_scribes_chronicles	estate_desire_1.png	1	estate_desire_1.png	false
sw_scribes_chronicles_upgraded	estate_desire_1.png	1	estate_desire_1.png	false
sw_household_guard_protection	military.png	1	military.png	false
sw_henchmen_bonus	loot_raid.png	1	loot_raid.png	false
sw_blessings	icon_christian.png	1	icon_christian.png	false
sw_stops_gothi	icon_pagan.png	1	icon_pagan.png	false
sw_gothi	icon_pagan.png	1	icon_pagan.png	false
sw_church_influence	icon_christian.png	1	icon_christian.png	false
sw_blacksmith_item	vik_tools_effect_bundles.png	1	vik_tools_effect_bundles.png	false
sw_veteran_drills	cult_english_fyrd.png	1	cult_english_fyrd.png	false
sw_explorer_missions	port.png	1	port.png	false
sw_recruit_sailors	cult_sea_kings_expedition.png	1	cult_sea_kings_expedition.png	false
sw_thralls_skill	slaves.png	1	slaves.png	false
sw_champion	cult_welsh_heroism.png	1	cult_welsh_heroism.png	false
sw_heroic_songs	cult_welsh_heroism.png	1	cult_welsh_heroism.png	false
sw_skald_songs	pop_foreign_positive.png	1	pop_foreign_positive.png	false
sw_clan_heroes	cult_gaelic_legitimacy.png	1	cult_gaelic_legitimacy.png	false
sw_lothian_hunter_train_rate	furs.png	1	furs.png	false
sw_lothian_hunter_cap	increased_pool_max_ranged.png	1	increased_pool_max_ranged.png	false
sw_stops_priest	icon_christian.png	1	icon_christian.png	false
sw_skills_henchmen_cattle_rustling	food.png	1	food.png	false
sw_tribute_per_victory	cult_sea_kings_tribute.png	2	cult_sea_kings_tribute.png	false
sw_lothian_hunter_accuracy	accuracy.png	2	accuracy.png	false
sw_supply_lines_duration	supplies.png	4	supplies.png	false
sw_champion_strat_clut	cult_welsh_heroism.png	1	cult_welsh_heroism.png	false
