key	image_path	localised_description	localised_name	pre_battle_speech_parameter	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting
#character_skills_tables;3;db/character_skills_tables/deprecated_bg_skills									
vik_general_back_born_commander	commander.png	This warrior has an innate understanding of tactics, making him an inspired choice to lead in battle.	Born Commander		0	false	false	false	0.0
vik_general_back_born_commander_circenn	commander.png	This warrior has an innate understanding of tactics, making him an inspired choice to lead in battle.	Born Commander		0	false	false	false	0.0
vik_general_back_born_commander_dyflin	commander.png	This warrior has an innate understanding of tactics, making him an inspired choice to lead in battle.	Born Commander		0	false	false	false	0.0
vik_general_back_born_commander_east_engle	commander.png	This warrior has an innate understanding of tactics, making him an inspired choice to lead in battle.	Born Commander		0	false	false	false	0.0
vik_general_back_born_commander_gwined	commander.png	This warrior has an innate understanding of tactics, making him an inspired choice to lead in battle.	Born Commander		0	false	false	false	0.0
vik_general_back_born_commander_mide	commander.png	This warrior has an innate understanding of tactics, making him an inspired choice to lead in battle.	Born Commander		0	false	false	false	0.0
vik_general_back_born_commander_mierce	commander.png	This warrior has an innate understanding of tactics, making him an inspired choice to lead in battle.	Born Commander		0	false	false	false	0.0
vik_general_back_born_commander_northymbre	commander.png	This warrior has an innate understanding of tactics, making him an inspired choice to lead in battle.	Born Commander		0	false	false	false	0.0
vik_general_back_born_commander_strat_clut	commander.png	This warrior has an innate understanding of tactics, making him an inspired choice to lead in battle.	Born Commander		0	false	false	false	0.0
vik_general_back_born_commander_sudreyar	commander.png	This warrior has an innate understanding of tactics, making him an inspired choice to lead in battle.	Born Commander		0	false	false	false	0.0
vik_general_back_born_commander_west_seaxe	commander.png	This warrior has an innate understanding of tactics, making him an inspired choice to lead in battle.	Born Commander		0	false	false	false	0.0
vik_general_back_cavalry_recruitment	cavalry_recruitment.png	"Look, it doesn't matter if we all die. Death is not the end, anyway - you know that."	Musterer		0	false	false	false	0.0
vik_general_back_cavalry_recruitment_circenn	cavalry_recruitment.png	Look, it doesn't matter if we all die. Death is not the end, anyway - you know that.	Musterer		0	false	false	false	0.0
vik_general_back_cavalry_recruitment_dyflin	cavalry_recruitment.png	Look, it doesn't matter if we all die. Death is not the end, anyway - you know that.	Musterer		0	false	false	false	0.0
vik_general_back_cavalry_recruitment_east_engle	cavalry_recruitment.png	Look, it doesn't matter if we all die. Death is not the end, anyway - you know that.	Musterer		0	false	false	false	0.0
vik_general_back_cavalry_recruitment_gwined	cavalry_recruitment.png	"Look, it doesn't matter if we all die. Death is not the end, anyway - you know that."	Musterer		0	false	false	false	0.0
vik_general_back_cavalry_recruitment_mide	cavalry_recruitment.png	Look, it doesn't matter if we all die. Death is not the end, anyway - you know that.	Musterer		0	false	false	false	0.0
vik_general_back_cavalry_recruitment_mierce	cavalry_recruitment.png	Look, it doesn't matter if we all die. Death is not the end, anyway - you know that.	Musterer		0	false	false	false	0.0
vik_general_back_cavalry_recruitment_northymbre	cavalry_recruitment.png	Look, it doesn't matter if we all die. Death is not the end, anyway - you know that.	Musterer		0	false	false	false	0.0
