key	generate	ui_icon	ui_image	prioritised	event_category
#incidents_tables;4;db/incidents_tables/sw_pop_update_new_region_incidents					
sw_foreign_army_vik_reg_aberffro	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_aberteifi	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_achadh_bo	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_aethelingaeg	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_airchardan	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_bebbanburg	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_blascona	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_bornais	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_cair_gwent	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_caisil	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_cantwaraburg	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_carleol	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_casteltoun	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_cathair_commain	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_ceaster	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_cetretha	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_cippanhamm	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_colneceaster	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_corcach	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_dinefwr	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
sw_foreign_army_vik_reg_doreceaster	false	message_generic_news.png	vik_event_rebellion	true	political_action_outcome
