id	incident_key	payload_key	value
#cdir_events_incident_payloads_tables;2;db/cdir_events_incident_payloads_tables/skill_incidents			
5400	sw_skills_henchmen_1	TEXT_DISPLAY	LOOKUP[slaves_100]
5401	sw_skills_henchmen_2	TREASURY	AMOUNT[800]
5402	sw_skills_henchmen_3	sw_skills_henchmen_cattle_rustling	DURATION[3]
5403	sw_skills_henchmen_4	TREASURY	AMOUNT[800]
5404	sw_renown_captain_recruited	REPLENISH_UNIT_SET	UNIT_SET[sea_captain];COUNT[1]
5405	sw_heroism_champion	TEXT_DISPLAY	LOOKUP[heroism_3]
5406	sw_heroism_bard	TEXT_DISPLAY	LOOKUP[heroism_2]
5407	sw_heroism_bard_2	TEXT_DISPLAY	LOOKUP[heroism_3]
5408	sw_heroism_bard_3	TEXT_DISPLAY	LOOKUP[heroism_5]
5409	sw_fame_bard	TEXT_DISPLAY	LOOKUP[personal_fame]
5410	sw_fame_scribe	CLAN_FAME	AMOUNT[15]
5411	sw_authority_scribe	CHANGE_GRAVITAS	AMOUNT[1];TARGET_FACTION_LEADER;POLITICAL_ACTION
5412	sw_upgraded_fame_scribe	CLAN_FAME	AMOUNT[40]
5413	sw_upgraded_authority_scribe	CHANGE_GRAVITAS	AMOUNT[2];TARGET_FACTION_LEADER;POLITICAL_ACTION
5414	sw_upgraded_money_scribe	TREASURY	AMOUNT[600]
5415	sw_tribute_skald	sw_skills_skald_allegiance	DURATION[3]
5416	sw_army_skald	TEXT_DISPLAY	LOOKUP[here_king_army]
5417	sw_army_skald	sw_skills_skald_allegiance	DURATION[3]
5418	sw_discoveries_skald	TEXT_DISPLAY	LOOKUP[personal_fame]
5419	sw_morale_skald	sw_skills_skald_morale	DURATION[3]
5420	sw_renown_sailors_recruited	REPLENISH_UNIT_SET	UNIT_SET[sailors];COUNT[3]
5421	sw_renown_vikings_recruited	REPLENISH_UNIT_SET	UNIT_SET[vikingar];COUNT[2]
5422	sw_heroism_champion	CLAN_FAME	AMOUNT[30]
5423	sw_bard_retreat	TEXT_DISPLAY	LOOKUP[bard_retreat]
5424	sw_skald_retreat	TEXT_DISPLAY	LOOKUP[skald_retreat]
5425	sw_drill_select_fyrd	REPLENISH_UNIT_SET	UNIT_SET[select_units];COUNT[2]
5426	sw_drill_marcher	REPLENISH_UNIT_SET	UNIT_SET[marcher_units];COUNT[2]
