religion_key	convertibility	ui_icon_path	sort_order	col_hex
#religions_tables;2;db/religions_tables/religions				
vik_religion	2	allegiance_none.png	16	000000
vik_religion_anglo_viking	2	allegiance_great_viking_army.png	8	827E72
vik_religion_banditry	2	vik_religion_banditry.png	39	57422C
vik_religion_caisil	2	allegiance_irish.png	29	253448
vik_religion_caisil_usurpers	2	allegiance_circenn.png	30	DFA828
vik_religion_circenn_usurpers	2	allegiance_circenn_usurpers.png	2	FCFCFC
vik_religion_dyflin	2	allegiance_dyflin.png	3	C08742
vik_religion_dyflin_usurpers	2	allegiance_dyflin_usurpers.png	4	F6D17C
vik_religion_east_angla	2	allegiance_east_engle.png	5	5387AE
vik_religion_east_engle_usurpers	2	allegiance_east_engle_usurpers.png	6	AD8E68
vik_religion_english	2	allegiance_english.png	7	564335
vik_religion_freeland	2	allegiance_circenn.png	40	B2B6AD
vik_religion_gwined	2	allegiance_gwined.png	9	FCFCFC
vik_religion_gwined_usurpers	2	allegiance_gwined_usurpers.png	10	A91400
vik_religion_hellirborg	2	allegiance_great_viking_army.png	35	945144
vik_religion_hellirborg_usurpers	2	allegiance_circenn.png	36	EEE0BF
vik_religion_hlymrekr	2	allegiance_viking_sea_kings.png	37	B21A28
vik_religion_hlymrekr_usurpers	2	allegiance_circenn.png	38	8F7E9B
vik_religion_irish	2	allegiance_irish.png	11	789E63
vik_religion_mide_usurpers	2	allegiance_mide_usurpers.png	13	564335
vik_religion_midhe	2	allegiance_mide.png	12	B4C5D5
vik_religion_mierce_usurpers	2	allegiance_mierce_usurpers.png	15	C2D3E1
vik_religion_miercna	2	allegiance_mierce.png	14	1F7DA3
vik_religion_northleode	2	allegiance_northleode.png	33	5E391F
vik_religion_northleode_usurpers	2	allegiance_english.png	34	C79421
vik_religion_northymbra	2	allegiance_northymbre.png	17	BB646D
vik_religion_northymbre_usurpers	2	allegiance_northymbre_usurpers.png	18	E7EEE6
vik_religion_scoan	2	allegiance_circenn.png	1	034F89
vik_religion_scots	2	allegiance_scottish.png	19	5C2C04
vik_religion_seisilwig	2	allegiance_welsh.png	31	C25B40
vik_religion_seisilwig_usurpers	2	allegiance_circenn.png	32	D4AA4B
vik_religion_strat_clut	2	allegiance_strat_clut.png	20	6A0900
vik_religion_strat_clut_usurpers	2	allegiance_strat_clut_usurpers.png	21	E7EEE6
vik_religion_sudreyar	2	allegiance_sudreyar.png	22	EFDCCB
vik_religion_sudreyar_usurpers	2	allegiance_sudreyar_usurpers.png	23	585F6E
vik_religion_viking	2	allegiance_vikings.png	24	574335
vik_religion_viking_gael	2	allegiance_viking_sea_kings.png	25	8CBFB6
vik_religion_welsh	2	allegiance_welsh.png	26	347D34
vik_religion_west_seaxe_usurpers	2	allegiance_west_seaxe_usurpers.png	28	FABD24
vik_religion_westsexa	2	allegiance_west_seaxe.png	27	961F0B
