id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/slot_template_to_building_superchain_junctions		
11602	vik_fishing	vik_reg_abberdeon_port
11603	vik_cloth	vik_reg_abberdeon_primary
11604	vik_port	vik_reg_aberffro_port
11605	vik_great_hall	vik_reg_aberffro_primary
11606	vik_arena	vik_reg_aberffro_secondary
11607	vik_artisans	vik_reg_aberffro_secondary
11608	vik_bard	vik_reg_aberffro_secondary
11609	vik_church	vik_reg_aberffro_secondary
11610	vik_craft_merchant	vik_reg_aberffro_secondary
11611	vik_forge	vik_reg_aberffro_secondary
11612	vik_wood	vik_reg_aberffro_secondary
11613	vik_workshop	vik_reg_aberffro_secondary
11614	vik_warehouse	vik_reg_aberffro_secondary
11615	vik_textiles	vik_reg_aberffro_secondary
11616	vik_thing	vik_reg_aberffro_secondary
11617	vik_thrall	vik_reg_aberffro_secondary
11618	vik_moot_hill	vik_reg_aberffro_secondary
11619	vik_mint	vik_reg_aberffro_secondary
11620	vik_market_fair	vik_reg_aberffro_secondary
11621	vik_court	vik_reg_aberffro_secondary
11622	vik_estate	vik_reg_aberffro_secondary
11623	vik_high_cross	vik_reg_aberffro_secondary
11624	vik_tools	vik_reg_aberffro_secondary
11625	vik_port	vik_reg_aberteifi_port
11626	vik_great_hall	vik_reg_aberteifi_primary
11627	vik_arena	vik_reg_aberteifi_secondary
11628	vik_artisans	vik_reg_aberteifi_secondary
11629	vik_church	vik_reg_aberteifi_secondary
11630	vik_craft_merchant	vik_reg_aberteifi_secondary
11631	vik_forge	vik_reg_aberteifi_secondary
11632	vik_wood	vik_reg_aberteifi_secondary
11633	vik_workshop	vik_reg_aberteifi_secondary
11634	vik_warehouse	vik_reg_aberteifi_secondary
11635	vik_textiles	vik_reg_aberteifi_secondary
11636	vik_thing	vik_reg_aberteifi_secondary
11637	vik_thrall	vik_reg_aberteifi_secondary
11638	vik_moot_hill	vik_reg_aberteifi_secondary
11639	vik_mint	vik_reg_aberteifi_secondary
11640	vik_market_fair	vik_reg_aberteifi_secondary
11641	vik_court	vik_reg_aberteifi_secondary
11642	vik_estate	vik_reg_aberteifi_secondary
11643	vik_high_cross	vik_reg_aberteifi_secondary
11644	vik_tools	vik_reg_aberteifi_secondary
11645	vik_achad_bo	vik_reg_achadh_bo_primary
11646	vik_round_tower	vik_reg_achadh_bo_secondary
11647	vik_church_crafts	vik_reg_achadh_bo_secondary
11648	vik_bullaun	vik_reg_achadh_bo_secondary
11649	vik_wax	vik_reg_achadh_bo_secondary
11650	vik_scribes	vik_reg_achadh_bo_secondary
11651	vik_lead	vik_reg_achadh_bo_secondary
11652	vik_library	vik_reg_achadh_bo_secondary
11653	vik_farm	vik_reg_aebburcurnig_primary
11654	vik_foreigners	vik_reg_aelmham_primary
11655	vik_great_hall	vik_reg_aethelingaeg_primary
11656	vik_arena	vik_reg_aethelingaeg_secondary
11657	vik_artisans	vik_reg_aethelingaeg_secondary
11658	vik_church	vik_reg_aethelingaeg_secondary
11659	vik_craft_merchant	vik_reg_aethelingaeg_secondary
11660	vik_forge	vik_reg_aethelingaeg_secondary
11661	vik_wood	vik_reg_aethelingaeg_secondary
11662	vik_workshop	vik_reg_aethelingaeg_secondary
11663	vik_warehouse	vik_reg_aethelingaeg_secondary
