key	cooldown	dilemma	effect_bundle	global_cooldown	icon
#decrees_tables;0;db/decrees_tables/decrees					
vik_decree_circenn_1	1		vik_decree_new_laws	10	decree_new_laws
vik_decree_circenn_2	2		vik_decree_infrastructure	10	decree_infrastructure
vik_decree_circenn_3	3		vik_decree_supplies_for_army	10	decree_support_army
vik_decree_circenn_4	4		vik_decree_honour_nobles	10	decree_honour_nobles
vik_decree_dyflin_1	1		vik_decree_send_expedition_dummy	10	decree_send_expedition
vik_decree_dyflin_2	2		vik_decree_new_laws	10	decree_new_laws
vik_decree_dyflin_3	3		vik_decree_civic_support	10	decree_infrastructure
vik_decree_dyflin_4	4		vik_decree_supplies_for_army	10	decree_support_army
vik_decree_east_engle_1	1		vik_decree_new_laws	10	decree_new_laws
vik_decree_east_engle_2	2		vik_decree_civic_support_here_king	10	decree_infrastructure
vik_decree_east_engle_3	3		vik_decree_supplies_for_army_here_king	10	decree_support_army
vik_decree_east_engle_4	4		vik_decree_support_church	10	decree_encourage_scholars
vik_decree_gwined_1	1		sw_decree_gwined_song_of_mead	10	decree_compose_poem
vik_decree_gwined_2	2		sw_decree_gwined_song_of_horses	10	decree_encourage_scholars
vik_decree_gwined_3	3		sw_decree_gwined_song_of_pendragon	10	decree_infrastructure
vik_decree_gwined_4	4		sw_decree_gwined_song_of_thousand_sons	10	decree_support_army
vik_decree_mide_1	1		vik_decree_honour_dead	10	decree_honour_dead
vik_decree_mide_2	2		vik_decree_new_laws_fair	10	decree_new_laws
vik_decree_mide_3	3		vik_decree_hold_games	10	decree_hold_games
vik_decree_mide_4	4		vik_decree_honour_troops	10	decree_support_army
vik_decree_mierce_1	1		sw_decree_mierce_warriors	3	decree_give_to_soldiers
vik_decree_mierce_2	2		sw_decree_mierce_lords	3	decree_give_to_nobles
vik_decree_mierce_3	3		sw_decree_mierce_church	3	decree_give_to_church
vik_decree_mierce_4	4		sw_decree_mierce_pay_hoards	1	decree_give_to_people
vik_decree_northymbre_1	1		vik_decree_new_laws	10	decree_new_laws
vik_decree_northymbre_2	2		vik_decree_civic_support_here_king	10	decree_infrastructure
vik_decree_northymbre_3	3		vik_decree_supplies_for_army_here_king	10	decree_support_army
vik_decree_northymbre_4	4		vik_decree_support_church	10	decree_encourage_scholars
vik_decree_strat_clut_1	1		vik_decree_compose_poem	10	decree_compose_poem
vik_decree_strat_clut_2	2		vik_decree_honour_church	10	decree_encourage_scholars
vik_decree_strat_clut_3	3		vik_decree_infrastructure	10	decree_infrastructure
vik_decree_strat_clut_4	4		vik_decree_supplies_for_army	10	decree_support_army
vik_decree_sudreyar_1	1		vik_decree_send_expedition_dummy	10	decree_send_expedition
vik_decree_sudreyar_2	2		vik_decree_new_laws	10	decree_new_laws
vik_decree_sudreyar_3	3		vik_decree_civic_support	10	decree_infrastructure
vik_decree_sudreyar_4	4		vik_decree_supplies_for_army	10	decree_support_army
vik_decree_west_seaxe_1	1		sw_decree_wessex_ad_hoc_levy	10	decree_give_to_soldiers
vik_decree_west_seaxe_2	2		sw_decree_wessex_fyrd	10	decree_support_army
vik_decree_west_seaxe_3	3		sw_decree_wessex_scholarship	10	decree_encourage_scholars
vik_decree_west_seaxe_4	4		sw_decree_wessex_witan	10	decree_new_laws
vik_decree_northleode_1	1		sw_decree_northleode_eoferwic	10	decree_give_to_nobles
vik_decree_northleode_2	2		sw_decree_northleode_tamworthige	10	decree_lower_taxes
vik_decree_northleode_3	3		sw_decree_northleode_dun_foither	10	decree_support_army
vik_decree_northleode_4	4		sw_decree_northleode_bebbanburg	10	decree_encourage_scholars
