id	mission_key	option_key	value	target
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/df_teclis				
416901	df_teclis_start_mission	GEN_CND_REGION	wh3_main_combi_region_fortress_of_dawn	default
416902	df_teclis_start_mission	VAR_MISSION_LENGTH_INFINITE		default
416903	df_teclis_start_mission	GEN_TARGET_REGION		default
416904	df_teclis_start_mission	CND_UNIQUE		default
416905	df_teclis_start_mission	VAR_CHANCE	100	default
416906	df_teclis_settle_wh3_main_combi_region_great_turtle_isle	GEN_CND_REGION	wh3_main_combi_region_great_turtle_isle	default
416907	df_teclis_settle_wh3_main_combi_region_the_star_tower	GEN_CND_REGION	wh3_main_combi_region_the_star_tower	default
416908	df_teclis_settle_wh3_main_combi_region_arnheim	GEN_CND_REGION	wh3_main_combi_region_arnheim	default
416909	df_teclis_settle_wh3_main_combi_region_gronti_mingol	GEN_CND_REGION	wh3_main_combi_region_gronti_mingol	default
416910	df_teclis_reclaim_wh3_main_combi_region_great_turtle_isle	GEN_CND_REGION	wh3_main_combi_region_great_turtle_isle	default
416911	df_teclis_reclaim_wh3_main_combi_region_the_star_tower	GEN_CND_REGION	wh3_main_combi_region_the_star_tower	default
416912	df_teclis_reclaim_wh3_main_combi_region_arnheim	GEN_CND_REGION	wh3_main_combi_region_arnheim	default
416913	df_teclis_reclaim_wh3_main_combi_region_gronti_mingol	GEN_CND_REGION	wh3_main_combi_region_gronti_mingol	default
416914	df_teclis_settle_wh3_main_combi_region_great_turtle_isle	VAR_MISSION_LENGTH_INFINITE		default
416915	df_teclis_settle_wh3_main_combi_region_the_star_tower	VAR_MISSION_LENGTH_INFINITE		default
416916	df_teclis_settle_wh3_main_combi_region_arnheim	VAR_MISSION_LENGTH_INFINITE		default
416917	df_teclis_settle_wh3_main_combi_region_gronti_mingol	VAR_MISSION_LENGTH_INFINITE		default
416918	df_teclis_reclaim_wh3_main_combi_region_great_turtle_isle	VAR_MISSION_LENGTH_INFINITE		default
416919	df_teclis_reclaim_wh3_main_combi_region_the_star_tower	VAR_MISSION_LENGTH_INFINITE		default
416920	df_teclis_reclaim_wh3_main_combi_region_arnheim	VAR_MISSION_LENGTH_INFINITE		default
416921	df_teclis_reclaim_wh3_main_combi_region_gronti_mingol	VAR_MISSION_LENGTH_INFINITE		default
416922	df_teclis_settle_wh3_main_combi_region_great_turtle_isle	CND_UNIQUE		default
416923	df_teclis_settle_wh3_main_combi_region_the_star_tower	CND_UNIQUE		default
416924	df_teclis_settle_wh3_main_combi_region_arnheim	CND_UNIQUE		default
416925	df_teclis_settle_wh3_main_combi_region_gronti_mingol	CND_UNIQUE		default
416926	df_teclis_reclaim_wh3_main_combi_region_great_turtle_isle	CND_UNIQUE		default
416927	df_teclis_reclaim_wh3_main_combi_region_the_star_tower	CND_UNIQUE		default
416928	df_teclis_reclaim_wh3_main_combi_region_arnheim	CND_UNIQUE		default
416929	df_teclis_reclaim_wh3_main_combi_region_gronti_mingol	CND_UNIQUE		default
416930	df_teclis_settle_wh3_main_combi_region_great_turtle_isle	GEN_TARGET_REGION		default
416931	df_teclis_settle_wh3_main_combi_region_the_star_tower	GEN_TARGET_REGION		default
416932	df_teclis_settle_wh3_main_combi_region_arnheim	GEN_TARGET_REGION		default
416933	df_teclis_settle_wh3_main_combi_region_gronti_mingol	GEN_TARGET_REGION		default
416934	df_teclis_reclaim_wh3_main_combi_region_great_turtle_isle	GEN_TARGET_REGION		default
416935	df_teclis_reclaim_wh3_main_combi_region_the_star_tower	GEN_TARGET_REGION		default
416936	df_teclis_reclaim_wh3_main_combi_region_arnheim	GEN_TARGET_REGION		default
416937	df_teclis_reclaim_wh3_main_combi_region_gronti_mingol	GEN_TARGET_REGION		default
416938	df_teclis_settle_wh3_main_combi_region_great_turtle_isle	VAR_CHANCE	100	default
416939	df_teclis_settle_wh3_main_combi_region_the_star_tower	VAR_CHANCE	100	default
416940	df_teclis_settle_wh3_main_combi_region_arnheim	VAR_CHANCE	100	default
416941	df_teclis_settle_wh3_main_combi_region_gronti_mingol	VAR_CHANCE	100	default
416942	df_teclis_reclaim_wh3_main_combi_region_great_turtle_isle	VAR_CHANCE	100	default
416943	df_teclis_reclaim_wh3_main_combi_region_the_star_tower	VAR_CHANCE	100	default
416944	df_teclis_reclaim_wh3_main_combi_region_arnheim	VAR_CHANCE	100	default
416945	df_teclis_reclaim_wh3_main_combi_region_gronti_mingol	VAR_CHANCE	100	default
416946	df_teclis_declare_war	VAR_CHANCE	100	default
416947	df_teclis_defeat_army	VAR_CHANCE	100	default
416948	df_teclis_declare_war	VAR_MISSION_LENGTH_INFINITE		default
416949	df_teclis_defeat_army	VAR_MISSION_LENGTH_INFINITE		default
416950	df_teclis_declare_war	CND_UNIQUE		default
416951	df_teclis_defeat_army	CND_UNIQUE		default
416952	df_teclis_declare_war	VAR_OBJECTIVE_ENEMY_OF_FACTION		default
