key	campaign_key	faction_key	indent	technology_key	technology_node_set	tier	research_points_required	cost_per_round
#technology_nodes_tables;1;db/technology_nodes_tables/shieldwall_northum_tech								
sw_northum_mil_1			6	vik_mil_cap_1	vik_northym_mil	1	600	0
sw_northum_mil_2			2	vik_mil_land_7_here_king	vik_northym_mil	1	600	0
sw_northum_mil_3			3	vik_mil_land_2	vik_northym_mil	2	600	0
sw_northum_mil_4			1	vik_mil_missile_1	vik_northym_mil	2	600	0
sw_northum_mil_5			4	vik_mil_melee_1	vik_northym_mil	3	600	0
sw_northum_mil_6			2	vik_mil_land_3	vik_northym_mil	3	600	0
sw_northum_mil_7			0	vik_mil_missile_2	vik_northym_mil	3	600	0
sw_northum_mil_8			-2	vik_mil_siege_1	vik_northym_mil	4	600	0
sw_northum_mil_9			6	vik_mil_melee_3a	vik_northym_mil	5	600	0
sw_northum_mil_10			4	vik_mil_melee_2a	vik_northym_mil	4	600	0
sw_northum_mil_11			-2	vik_mil_siege_2	vik_northym_mil	5	600	0
sw_northum_mil_12			6	vik_mil_melee_4a	vik_northym_mil	6	600	0
sw_northum_mil_13			4	vik_mil_melee_3b	vik_northym_mil	5	600	0
sw_northum_mil_14			2	vik_mil_land_4	vik_northym_mil	5	600	0
sw_northum_mil_15			0	vik_mil_missile_3	vik_northym_mil	5	600	0
sw_northum_mil_16			-2	vik_mil_siege_3	vik_northym_mil	6	600	0
sw_northum_mil_17			4	vik_mil_melee_4b	vik_northym_mil	6	600	0
sw_northum_mil_18			0	vik_mil_missile_6_here_king	vik_northym_mil	6	600	0
sw_northum_mil_19			5	vik_mil_spearmen_1	vik_northym_mil	7	600	0
sw_northum_mil_20			3	vik_mil_melee_5	vik_northym_mil	7	600	0
sw_northum_mil_21			2	vik_mil_land_5	vik_northym_mil	7	600	0
sw_northum_mil_22			1	vik_mil_cavalry_1	vik_northym_mil	7	600	0
sw_northum_mil_23			-1	vik_mil_missile_5	vik_northym_mil	7	600	0
sw_northum_mil_24			5	vik_mil_spearmen_2	vik_northym_mil	8	600	0
sw_northum_mil_25			3	vik_mil_melee_6	vik_northym_mil	8	600	0
sw_northum_mil_26			1	vik_mil_cavalry_2	vik_northym_mil	8	600	0
sw_northum_mil_27			-1	vik_mil_missile_6	vik_northym_mil	8	600	0
sw_northum_mil_28			4	vik_mil_spearmen_3	vik_northym_mil	9	600	0
sw_northum_mil_29			2	vik_mil_siege_4	vik_northym_mil	9	600	0
sw_northum_mil_30			0	vik_mil_cavalry_3	vik_northym_mil	9	600	0
sw_northum_mil_31			5	vik_mil_cap_2	vik_northym_mil	10	600	0
sw_northum_mil_32			4	vik_mil_spearmen_4	vik_northym_mil	11	600	0
sw_northum_mil_33			2	vik_mil_siege_5	vik_northym_mil	11	600	0
sw_northum_mil_34			0	vik_mil_cavalry_4	vik_northym_mil	11	600	0
sw_northum_mil_35			4	vik_mil_spearmen_5	vik_northym_mil	12	600	0
sw_northum_mil_36			2	vik_mil_melee_2b	vik_northym_mil	12	600	0
sw_northum_mil_37			0	vik_mil_cavalry_5	vik_northym_mil	12	600	0
sw_northum_mil_38			3	vik_mil_spearmen_6	vik_northym_mil	13	600	0
sw_northum_mil_39			1	vik_mil_cavalry_6	vik_northym_mil	13	600	0
sw_northum_mil_40			2	vik_mil_cap_3	vik_northym_mil	14	600	0
sw_northum_mil_41			2	vik_mil_cap_4	vik_northym_mil	15	600	0
