id	dilemma_key	option_key	value
#cdir_events_dilemma_option_junctions_tables;2;db/cdir_events_dilemma_option_junctions_tables/trait_dilemmas			
29000	sw_traits_strange_friends	VAR_CHANCE	100
29001	sw_traits_strange_friends	GEN_TARGET_CHARACTER	
29002	sw_traits_strange_friends	GEN_CND_CHARACTER_TRAIT	sw_traits_strange_friends_flag
29003	sw_traits_foreign_settlers	VAR_CHANCE	100
29004	sw_traits_foreign_settlers	GEN_TARGET_CHARACTER	
29005	sw_traits_foreign_settlers	GEN_CND_CHARACTER_TRAIT	sw_traits_foreign_settlers_flag
29006	sw_traits_beloved	VAR_CHANCE	100
29007	sw_traits_beloved	GEN_TARGET_CHARACTER	
29008	sw_traits_beloved	GEN_CND_CHARACTER_TRAIT	sw_traits_beloved_flag
29009	sw_traits_beloved	CND_MIN_TREASURY	500
29010	sw_traits_educating_heir	VAR_CHANCE	100
29011	sw_traits_educating_heir	GEN_TARGET_CHARACTER	
29012	sw_traits_educating_heir	GEN_CND_CHARACTER_TRAIT	sw_traits_educating_heir_flag
29013	sw_traits_grooming_heir	VAR_CHANCE	100
29014	sw_traits_grooming_heir	GEN_TARGET_CHARACTER	
29015	sw_traits_grooming_heir	GEN_CND_CHARACTER_TRAIT	sw_traits_grooming_heir_flag
29016	sw_traits_corruption	VAR_CHANCE	100
29017	sw_traits_corruption	GEN_TARGET_CHARACTER	
29018	sw_traits_corruption	GEN_CND_CHARACTER_TRAIT	sw_traits_corruption_flag
29019	sw_traits_treason	VAR_CHANCE	100
29020	sw_traits_treason	GEN_TARGET_CHARACTER	
29021	sw_traits_treason	GEN_CND_CHARACTER_TRAIT	sw_traits_treason_flag
29022	sw_traits_collector	VAR_CHANCE	100
29023	sw_traits_collector	GEN_TARGET_CHARACTER	
29024	sw_traits_collector	GEN_CND_CHARACTER_TRAIT	sw_traits_collector_flag
