effect	icon	priority	icon_negative	is_hidden
#effects_tables;3;db/effects_tables/dummy_front_end				
shieldwall_gwined_army	army.png	1	army.png	false
shieldwall_eastanglia_army	army.png	1	army.png	false
shieldwall_gva_famous_raiders	cult_vik_army_army.png	1	cult_vik_army_army	false
shieldwall_saxons_fyrd_winter	replenishment_negative.png	42	replenishment_negative.png	false
shieldwall_front_end_monk_caps	monastery.png	50	monastery.png	false
shieldwall_gov_capacity	governance.png	999	governance.png	false
sw_fe_gva_1	silver.png	1	silver.png	false
sw_fe_gva_2	faction_leader.png	2	faction_leader.png	false
sw_fe_gva_3	pop_monk_negative.png	3	pop_monk_negative.png	false
sw_fe_east_engle_1	cult_vik_army_english.png	1	cult_vik_army_english.png	false
sw_fe_east_engle_2	infantry.png	2	infantry.png	false
sw_fe_east_engle_3	loot_raid.png	3	loot_raid.png	false
sw_fe_northymbria_1	cult_vik_army_army.png	1	cult_vik_army_army.png	false
sw_fe_northymbria_2	food_positive.png	2	food_positive.png	false
sw_fe_northymbria_3	cult_dyflin_slaves_negative.png	3	cult_dyflin_slaves_negative.png	false
sw_fe_welsh_1	cult_welsh_heroism.png	1	vik_great_hall_effect_bundles.png	false
sw_fe_welsh_2	vik_great_hall_effect_bundles.png	2	vik_great_hall_effect_bundles.png	false
sw_fe_welsh_3	public_order_negative.png	3	public_order_negative.png	false
sw_fe_strat_clut_1	replenishment_cavalry.png	1	replenishment_cavalry.png	false
sw_fe_strat_clut_2	fame.png	2	fame.png	false
sw_fe_strat_clut_3	pop_lord_negative.png	3	pop_lord_negative.png	false
sw_fe_gwined_1	crown_unique.png	1	crown_unique.png	false
sw_fe_gwined_2	spearmen_units.png	2	spearmen_units.png	false
sw_fe_gwined_3	civil_war.png	3	civil_war.png	false
sw_fe_vsk_1	cult_sea_kings_expedition.png	1	cult_sea_kings_expedition.png	false
sw_fe_vsk_2	cult_sea_kings_tribute.png	2	cult_sea_kings_tribute.png	false
sw_fe_vsk_3	icon_pagan.png	3	icon_pagan.png	false
sw_fe_dyflin_1	cult_dyflin_slaves.png	1	cult_dyflin_slaves.png	false
sw_fe_dylin_2	navy.png	2	navy.png	false
sw_fe_dylin_3	increased_pool_max.png	3	increased_pool_max.png	false
sw_fe_sudreyjar_1	navy.png	1	navy.png	false
sw_fe_sudreyjar_2	allegiance.png	2	allegiance.png	false
sw_fe_sudreyjar_3	food_negative.png	3	food_negative.png	false
sw_fe_geals_1	cult_gaelic_legitimacy.png	1	cult_gaelic_legitimacy.png	false
sw_fe_geals_2	abbey.png	2	abbey.png	false
sw_fe_geals_3	cattle.png	3	cattle.png	false
sw_fe_mide_1	vik_market_fair_effect_bundles.png	1	vik_market_fair_effect_bundles.png	false
sw_fe_mide_2	civil_war.png	2	civil_war.png	false
sw_fe_mide_3	cavalry.png	3	cavalry.png	false
sw_fe_circenn_1	faction_leader.png	1	faction_leader.png	false
sw_fe_circenn_2	vik_tools_effect_bundles.png	2	vik_tools_effect_bundles.png	false
sw_fe_circenn_3	food_negative.png	3	food_negative.png	false
sw_fe_dylin_3_campaign	increased_pool_max.png	3	increased_pool_max.png	false
