building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/building_set_to_building_junctions			
vik_bullaun		vik_build_set_church	false
vik_church		vik_build_set_church	false
vik_embroiders		vik_build_set_church	false
vik_high_cross		vik_build_set_church	false
vik_library		vik_build_set_church	false
vik_nunnaminster		vik_build_set_church	false
vik_round_tower		vik_build_set_church	false
vik_scoan_abbey		vik_build_set_church	false
vik_scribes		vik_build_set_church	false
vik_st_brigit		vik_build_set_church	false
vik_st_swithun		vik_build_set_church	false
vik_achad_bo		vik_build_set_city	false
vik_great_hall		vik_build_set_city	false
vik_grianan_ailech		vik_build_set_city	false
vik_longphort		vik_build_set_city	false
vik_market		vik_build_set_city	false
vik_monastery		vik_build_set_city	false
vik_mountain_hall		vik_build_set_city	false
vik_offas_hall		vik_build_set_city	false
vik_rock_caisil		vik_build_set_city	false
vik_st_ciaran		vik_build_set_city	false
vik_st_columbe		vik_build_set_city	false
vik_st_patraic		vik_build_set_city	false
vik_apple_ash		vik_build_set_food	false
vik_fogou		vik_build_set_food	false
vik_granary		vik_build_set_village_farm	false
vik_mill		vik_build_set_village_farm	false
vik_souterrain		vik_build_set_village_farm	false
vik_tithe_hall		vik_build_set_church	false
vik_garrison		vik_build_set_garrison	false
vik_arena		vik_build_set_great_hall	false
vik_assembly		vik_build_set_great_hall	false
vik_bard		vik_build_set_great_hall	false
vik_court		vik_build_set_great_hall	false
vik_court_school		vik_build_set_great_hall	false
vik_estate		vik_build_set_great_hall	false
vik_konungsgurtha		vik_build_set_great_hall	false
vik_moot_hill		vik_build_set_great_hall	false
vik_thing		vik_build_set_great_hall	false
vik_alehouse		vik_build_set_market	false
vik_craft_merchant		vik_build_set_workshops	false
vik_guildhall		vik_build_set_market	false
vik_market_fair		vik_build_set_market	false
vik_martyrs_mint		vik_build_set_village_market	false
vik_merchant		vik_build_set_market	false
vik_mint		vik_build_set_market	false
vik_tanner		vik_build_set_village_market	false
vik_thrall		vik_build_set_market	false
vik_warehouse		vik_build_set_market	false
vik_herring_port		vik_build_set_port	false
vik_port		vik_build_set_port	false
vik_trade_port		vik_build_set_port	false
vik_viking_port		vik_build_set_port	false
vik_abbey		vik_build_set_village_church	false
vik_benedictine_abbey		vik_build_set_village_church	false
vik_celi_de_abbey		vik_build_set_village_church	false
vik_school_ros		vik_build_set_village_church	false
vik_st_cuthbert		vik_build_set_village_church	false
vik_st_dewi		vik_build_set_village_church	false
vik_st_edmund		vik_build_set_village_church	false
vik_st_ringan		vik_build_set_village_church	false
vik_farm		vik_build_set_village_farm	false
vik_fishing		vik_build_set_village_farm	false
vik_hunting		vik_build_set_village_farm	false
vik_orchard		vik_build_set_village_farm	false
vik_pasture		vik_build_set_village_farm	false
vik_copper		vik_build_set_village_industry	false
vik_gold		vik_build_set_village_industry	false
vik_iron		vik_build_set_village_industry	false
vik_lead		vik_build_set_church	false
vik_silver		vik_build_set_village_industry	false
vik_tin		vik_build_set_village_industry	false
vik_wood		vik_build_set_workshops	false
vik_cloth		vik_build_set_village_market	false
vik_pottery		vik_build_set_village_market	false
vik_salt		vik_build_set_village_market	false
vik_trade		vik_build_set_village_market	false
vik_artisans		vik_build_set_workshops	false
vik_church_crafts		vik_build_set_church	false
vik_forge		vik_build_set_workshops	false
vik_master_forge		vik_build_set_workshops	false
vik_runestone		vik_build_set_workshops	false
vik_sculptors		vik_build_set_workshops	false
vik_tools		vik_build_set_workshops	false
vik_workshop		vik_build_set_workshops	false
vik_wax		vik_build_set_church	false
vik_textiles		vik_build_set_market	false
vik_archery		vik_build_set_great_hall	false
vik_athletics		vik_build_set_great_hall	false
vik_hof		vik_build_set_church	false
vik_oxford		vik_build_set_great_hall	false
vik_island_monastery		vik_build_set_church	false
vik_borough		vik_build_set_city	false
vik_foreigners		vik_build_set_village_market	false
