faction	general_unit	unit	siege_unit_attacker	siege_unit_defender
#units_custom_battle_permissions_tables;4;db/units_custom_battle_permissions_tables/mercs				
vik_fact_circenn	false	dan_mailed_horsemen	true	true
vik_fact_circenn	false	dan_anglian_marauders	true	true
vik_fact_circenn	false	dan_northumbrian_mailed_thegns	true	true
vik_fact_circenn	false	eng_mailed_thegns	true	true
vik_fact_circenn	false	vik_jomsvikings	true	true
vik_fact_circenn	false	wel_mailed_axemen	true	true
vik_fact_circenn	false	vik_thrall_axemen	true	true
vik_fact_circenn	false	dan_jarls_huscarls	true	true
vik_fact_dyflin	false	dan_mailed_horsemen	true	true
vik_fact_dyflin	false	dan_anglian_marauders	true	true
vik_fact_dyflin	false	dan_northumbrian_mailed_thegns	true	true
vik_fact_dyflin	false	eng_mailed_thegns	true	true
vik_fact_dyflin	false	vik_jomsvikings	true	true
vik_fact_dyflin	false	wel_mailed_axemen	true	true
vik_fact_dyflin	false	vik_thrall_axemen	true	true
vik_fact_dyflin	false	dan_jarls_huscarls	true	true
vik_fact_east_engle	false	dan_mailed_horsemen	true	true
vik_fact_east_engle	false	dan_anglian_marauders	true	true
vik_fact_east_engle	false	dan_northumbrian_mailed_thegns	true	true
vik_fact_east_engle	false	eng_mailed_thegns	true	true
vik_fact_east_engle	false	vik_jomsvikings	true	true
vik_fact_east_engle	false	wel_mailed_axemen	true	true
vik_fact_east_engle	false	vik_thrall_axemen	true	true
vik_fact_east_engle	false	dan_jarls_huscarls	true	true
vik_fact_gwined	false	dan_mailed_horsemen	true	true
vik_fact_gwined	false	dan_anglian_marauders	true	true
vik_fact_gwined	false	dan_northumbrian_mailed_thegns	true	true
vik_fact_gwined	false	eng_mailed_thegns	true	true
vik_fact_gwined	false	vik_jomsvikings	true	true
vik_fact_gwined	false	wel_mailed_axemen	true	true
vik_fact_gwined	false	vik_thrall_axemen	true	true
vik_fact_gwined	false	dan_jarls_huscarls	true	true
vik_fact_mide	false	dan_mailed_horsemen	true	true
vik_fact_mide	false	dan_anglian_marauders	true	true
vik_fact_mide	false	dan_northumbrian_mailed_thegns	true	true
vik_fact_mide	false	eng_mailed_thegns	true	true
vik_fact_mide	false	vik_jomsvikings	true	true
vik_fact_mide	false	wel_mailed_axemen	true	true
vik_fact_mide	false	vik_thrall_axemen	true	true
vik_fact_mierce	false	dan_northumbrian_mailed_thegns	true	true
vik_fact_mierce	false	eng_mailed_thegns	true	true
vik_fact_mierce	false	vik_jomsvikings	true	true
vik_fact_mierce	false	wel_mailed_axemen	true	true
vik_fact_mierce	false	vik_thrall_axemen	true	true
vik_fact_mierce	false	dan_jarls_huscarls	true	true
vik_fact_normaunds	false	dan_mailed_horsemen	true	true
vik_fact_normaunds	false	dan_anglian_marauders	true	true
vik_fact_normaunds	false	dan_northumbrian_mailed_thegns	true	true
vik_fact_normaunds	false	eng_mailed_thegns	true	true
vik_fact_normaunds	false	vik_jomsvikings	true	true
vik_fact_normaunds	false	wel_mailed_axemen	true	true
vik_fact_normaunds	false	vik_thrall_axemen	true	true
vik_fact_normaunds	false	dan_jarls_huscarls	true	true
vik_fact_northymbre	false	dan_mailed_horsemen	true	true
vik_fact_northymbre	false	dan_anglian_marauders	true	true
vik_fact_northymbre	false	dan_northumbrian_mailed_thegns	true	true
vik_fact_northymbre	false	eng_mailed_thegns	true	true
vik_fact_northymbre	false	vik_jomsvikings	true	true
vik_fact_northymbre	false	wel_mailed_axemen	true	true
vik_fact_northymbre	false	vik_thrall_axemen	true	true
vik_fact_northymbre	false	dan_jarls_huscarls	true	true
vik_fact_strat_clut	false	dan_mailed_horsemen	true	true
vik_fact_strat_clut	false	dan_anglian_marauders	true	true
vik_fact_strat_clut	false	dan_northumbrian_mailed_thegns	true	true
vik_fact_strat_clut	false	eng_mailed_thegns	true	true
vik_fact_strat_clut	false	vik_jomsvikings	true	true
vik_fact_strat_clut	false	wel_mailed_axemen	true	true
vik_fact_strat_clut	false	vik_thrall_axemen	true	true
vik_fact_strat_clut	false	dan_jarls_huscarls	true	true
vik_fact_sudreyar	false	dan_mailed_horsemen	true	true
vik_fact_sudreyar	false	dan_anglian_marauders	true	true
vik_fact_sudreyar	false	dan_northumbrian_mailed_thegns	true	true
vik_fact_sudreyar	false	eng_mailed_thegns	true	true
vik_fact_sudreyar	false	vik_jomsvikings	true	true
vik_fact_sudreyar	false	wel_mailed_axemen	true	true
vik_fact_sudreyar	false	vik_thrall_axemen	true	true
vik_fact_sudreyar	false	dan_jarls_huscarls	true	true
vik_fact_west_seaxe	false	dan_mailed_horsemen	true	true
vik_fact_west_seaxe	false	dan_anglian_marauders	true	true
vik_fact_west_seaxe	false	dan_northumbrian_mailed_thegns	true	true
vik_fact_west_seaxe	false	eng_mailed_thegns	true	true
vik_fact_west_seaxe	false	vik_jomsvikings	true	true
vik_fact_west_seaxe	false	wel_mailed_axemen	true	true
vik_fact_west_seaxe	false	vik_thrall_axemen	true	true
vik_fact_west_seaxe	false	dan_jarls_huscarls	true	true
vik_fact_mide	false	dan_jarls_huscarls	true	true
