key	generate	ui_icon	ui_image	prioritised	event_category
#incidents_tables;4;db/incidents_tables/skills_incidents					
sw_skills_henchmen_1	false	message_generic_news.png	vik_event_invade_territory_01	true	political_action_outcome
sw_skills_henchmen_2	false	message_generic_news.png	vik_event_invade_territory_01	true	political_action_outcome
sw_skills_henchmen_3	false	message_generic_news.png	vik_event_invade_territory_01	true	political_action_outcome
sw_skills_henchmen_4	false	message_generic_news.png	vik_event_invade_territory_01	true	political_action_outcome
sw_renown_captain_recruited	false	message_generic_news.png	vik_event_ship_on_river	true	political_action_outcome
sw_heroism_champion	false	message_generic_news.png	vik_event_invade_territory_01	true	political_action_outcome
sw_heroism_bard	false	message_generic_news.png	vik_event_fair_tailtiu	true	political_action_outcome
sw_heroism_bard_2	false	message_generic_news.png	vik_event_fair_tailtiu	true	political_action_outcome
sw_heroism_bard_3	false	message_generic_news.png	vik_event_fair_tailtiu	true	political_action_outcome
sw_fame_bard	false	message_generic_news.png	vik_event_fair_tailtiu	true	political_action_outcome
sw_fame_scribe	false	message_generic_news.png	vik_event_tech_complete	true	political_action_outcome
sw_authority_scribe	false	message_generic_news.png	vik_event_tech_complete	true	political_action_outcome
sw_upgraded_fame_scribe	false	message_generic_news.png	vik_event_tech_complete	true	political_action_outcome
sw_upgraded_authority_scribe	false	message_generic_news.png	vik_event_tech_complete	true	political_action_outcome
sw_upgraded_money_scribe	false	message_generic_news.png	vik_event_tech_complete	true	political_action_outcome
sw_tribute_skald	false	message_generic_news.png	vik_event_war_fervour_increase	true	political_action_outcome
sw_army_skald	false	message_generic_news.png	vik_event_war_fervour_increase	true	political_action_outcome
sw_discoveries_skald	false	message_generic_news.png	vik_event_war_fervour_increase	true	political_action_outcome
sw_morale_skald	false	message_generic_news.png	vik_event_war_fervour_increase	true	political_action_outcome
sw_renown_sailors_recruited	false	message_generic_news.png	vik_event_ship_on_river	true	political_action_outcome
sw_renown_vikings_recruited	false	message_generic_news.png	vik_event_ship_on_river	true	political_action_outcome
sw_bard_retreat	false	message_generic_news.png	sir_robin	true	political_action_outcome
sw_skald_retreat	false	message_generic_news.png	sir_robin	true	political_action_outcome
sw_drill_select_fyrd	false	message_generic_news.png	vik_event_war_fervour_increase	true	political_action_outcome
sw_drill_marcher	false	message_generic_news.png	vik_event_war_fervour_increase	true	political_action_outcome
