key	mission_type	localised_title	localised_description	ui_image	ui_icon	generate	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	quest_mission_final	trigger_radius	quest_character	sticky_by_default	localised_mission_completed_text	can_be_manually_cancelled
#missions_tables;0;db/missions_tables/df_teclis																		
df_teclis_start_mission	CAPTURE_REGIONS			hef/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0	false	true	Success! You have achieved one of your goals.	true
df_teclis_settle_wh3_main_combi_region_great_turtle_isle	CAPTURE_REGIONS	wh3_main_combi_region_great_turtle_isle		hef/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0	false	true	Success! You have achieved one of your goals.	true
df_teclis_settle_wh3_main_combi_region_the_star_tower	CAPTURE_REGIONS	wh3_main_combi_region_the_star_tower		hef/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0	false	true	Success! You have achieved one of your goals.	true
df_teclis_settle_wh3_main_combi_region_arnheim	CAPTURE_REGIONS	wh3_main_combi_region_arnheim		hef/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0	false	true	Success! You have achieved one of your goals.	true
df_teclis_settle_wh3_main_combi_region_gronti_mingol	CAPTURE_REGIONS	wh3_main_combi_region_gronti_mingol		hef/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0	false	true	Success! You have achieved one of your goals.	true
df_teclis_reclaim_wh3_main_combi_region_great_turtle_isle	CAPTURE_REGIONS	wh3_main_combi_region_great_turtle_isle		hef/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0	false	true	Success! You have achieved one of your goals.	true
df_teclis_reclaim_wh3_main_combi_region_the_star_tower	CAPTURE_REGIONS	wh3_main_combi_region_the_star_tower		hef/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0	false	true	Success! You have achieved one of your goals.	true
df_teclis_reclaim_wh3_main_combi_region_arnheim	CAPTURE_REGIONS	wh3_main_combi_region_arnheim		hef/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0	false	true	Success! You have achieved one of your goals.	true
df_teclis_reclaim_wh3_main_combi_region_gronti_mingol	CAPTURE_REGIONS	wh3_main_combi_region_gronti_mingol		hef/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0	false	true	Success! You have achieved one of your goals.	true
df_teclis_defeat_army	ENGAGE_FORCE			hef/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0	false	true	Success! You have achieved one of your goals.	true
df_teclis_declare_war	DECLARE_WAR			hef/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0	false	true	Success! You have achieved one of your goals.	true
