child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
#technology_node_links_tables;2;db/technology_node_links_tables/shieldwall_dyflin_node_links						
sw_dyflin_mil_3	sw_dyflin_mil_2	0	2	4	0.0	0.0
sw_dyflin_mil_4	sw_dyflin_mil_2	0	2	4	0.0	0.0
sw_dyflin_mil_5	sw_dyflin_mil_3	0	2	4	0.0	0.0
sw_dyflin_mil_6	sw_dyflin_mil_3	0	2	4	0.0	0.0
sw_dyflin_mil_7	sw_dyflin_mil_4	0	2	4	0.0	0.0
sw_dyflin_mil_6	sw_dyflin_mil_4	0	2	4	0.0	0.0
sw_dyflin_mil_8	sw_dyflin_mil_7	0	2	4	0.0	0.0
sw_dyflin_mil_15	sw_dyflin_mil_7	0	2	4	0.0	0.0
sw_dyflin_mil_11	sw_dyflin_mil_8	0	2	4	0.0	0.0
sw_dyflin_mil_16	sw_dyflin_mil_11	0	2	4	0.0	0.0
sw_dyflin_mil_18	sw_dyflin_mil_15	0	2	4	0.0	0.0
sw_dyflin_mil_22	sw_dyflin_mil_18	0	2	4	0.0	0.0
sw_dyflin_mil_23	sw_dyflin_mil_18	0	2	4	0.0	0.0
sw_dyflin_mil_27	sw_dyflin_mil_23	0	2	4	0.0	0.0
sw_dyflin_mil_26	sw_dyflin_mil_22	0	2	4	0.0	0.0
sw_dyflin_mil_30	sw_dyflin_mil_26	0	2	4	0.0	0.0
sw_dyflin_mil_34	sw_dyflin_mil_30	0	2	4	0.0	0.0
sw_dyflin_mil_37	sw_dyflin_mil_34	0	2	4	0.0	0.0
sw_dyflin_mil_39	sw_dyflin_mil_37	0	2	4	0.0	0.0
sw_dyflin_mil_40	sw_dyflin_mil_39	0	2	4	0.0	0.0
sw_dyflin_mil_41	sw_dyflin_mil_40	0	2	4	0.0	0.0
sw_dyflin_mil_14	sw_dyflin_mil_6	0	2	4	0.0	0.0
sw_dyflin_mil_21	sw_dyflin_mil_14	0	2	4	0.0	0.0
sw_dyflin_mil_10	sw_dyflin_mil_5	0	2	4	0.0	0.0
sw_dyflin_mil_9	sw_dyflin_mil_10	0	2	4	0.0	0.0
sw_dyflin_mil_13	sw_dyflin_mil_10	0	2	4	0.0	0.0
sw_dyflin_mil_12	sw_dyflin_mil_9	0	2	4	0.0	0.0
sw_dyflin_mil_17	sw_dyflin_mil_13	0	2	4	0.0	0.0
sw_dyflin_mil_20	sw_dyflin_mil_17	0	2	4	0.0	0.0
sw_dyflin_mil_19	sw_dyflin_mil_17	0	2	4	0.0	0.0
sw_dyflin_mil_25	sw_dyflin_mil_20	0	2	4	0.0	0.0
sw_dyflin_mil_24	sw_dyflin_mil_19	0	2	4	0.0	0.0
sw_dyflin_mil_28	sw_dyflin_mil_24	0	2	4	0.0	0.0
sw_dyflin_mil_31	sw_dyflin_mil_24	0	2	4	0.0	0.0
sw_dyflin_mil_28	sw_dyflin_mil_25	0	2	4	0.0	0.0
sw_dyflin_mil_29	sw_dyflin_mil_25	0	2	4	0.0	0.0
sw_dyflin_mil_32	sw_dyflin_mil_28	0	2	4	0.0	0.0
sw_dyflin_mil_35	sw_dyflin_mil_32	0	2	4	0.0	0.0
sw_dyflin_mil_38	sw_dyflin_mil_35	0	2	4	0.0	0.0
sw_dyflin_mil_40	sw_dyflin_mil_38	0	2	4	0.0	0.0
sw_dyflin_mil_33	sw_dyflin_mil_29	0	2	4	0.0	0.0
sw_dyflin_mil_36	sw_dyflin_mil_33	0	2	4	0.0	0.0
