child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
#technology_node_links_tables;2;db/technology_node_links_tables/technology_node_links						
vik_dyflin_civ_army_2	vik_dyflin_civ_army_1	0	2	4	0.0	0.0
vik_dyflin_civ_army_3	vik_dyflin_civ_army_2	0	2	4	0.0	0.0
vik_dyflin_civ_army_4	vik_dyflin_civ_army_3	0	2	4	0.0	0.0
vik_dyflin_civ_army_5	vik_dyflin_civ_army_4	0	2	4	0.0	0.0
vik_dyflin_civ_army_6	vik_dyflin_civ_army_5	0	2	4	0.0	0.0
vik_dyflin_civ_farm_2	vik_dyflin_civ_farm_1	0	2	4	0.0	0.0
vik_dyflin_civ_farm_3	vik_dyflin_civ_farm_2	0	2	4	0.0	0.0
vik_dyflin_civ_farm_4	vik_dyflin_civ_farm_3	0	2	4	0.0	0.0
vik_dyflin_civ_farm_5	vik_dyflin_civ_farm_4	0	2	4	0.0	0.0
vik_dyflin_civ_farm_6	vik_dyflin_civ_farm_5	0	2	4	0.0	0.0
vik_dyflin_civ_industry_2	vik_dyflin_civ_industry_1	0	2	4	0.0	0.0
vik_dyflin_civ_industry_3	vik_dyflin_civ_industry_2	0	2	4	0.0	0.0
vik_dyflin_civ_industry_4	vik_dyflin_civ_industry_3	0	2	4	0.0	0.0
vik_dyflin_civ_industry_5	vik_dyflin_civ_industry_4	0	2	4	0.0	0.0
vik_dyflin_civ_industry_6	vik_dyflin_civ_industry_5	0	2	4	0.0	0.0
vik_dyflin_civ_leader_2	vik_dyflin_civ_leader_1	0	2	4	0.0	0.0
vik_dyflin_civ_leader_3	vik_dyflin_civ_leader_2	0	2	4	0.0	0.0
vik_dyflin_civ_leader_4	vik_dyflin_civ_leader_3	0	2	4	0.0	0.0
vik_dyflin_civ_leader_5	vik_dyflin_civ_leader_4	0	2	4	0.0	0.0
vik_dyflin_civ_leader_6	vik_dyflin_civ_leader_5	0	2	4	0.0	0.0
vik_dyflin_civ_market_2	vik_dyflin_civ_market_1	0	2	4	0.0	0.0
vik_dyflin_civ_market_3	vik_dyflin_civ_market_2	0	2	4	0.0	0.0
vik_dyflin_civ_market_4	vik_dyflin_civ_market_3	0	2	4	0.0	0.0
vik_dyflin_civ_market_5	vik_dyflin_civ_market_4	0	2	4	0.0	0.0
vik_dyflin_civ_market_6	vik_dyflin_civ_market_5	0	2	4	0.0	0.0
vik_dyflin_civ_religion_2	vik_dyflin_civ_religion_1	0	2	4	0.0	0.0
vik_dyflin_civ_religion_3	vik_dyflin_civ_religion_2	0	2	4	0.0	0.0
vik_dyflin_civ_religion_4	vik_dyflin_civ_religion_3	0	2	4	0.0	0.0
vik_dyflin_civ_religion_5	vik_dyflin_civ_religion_4	0	2	4	0.0	0.0
vik_dyflin_civ_religion_6	vik_dyflin_civ_religion_5	0	2	4	0.0	0.0
vik_eastangla_civ_army_2	vik_eastangla_civ_army_1	0	2	4	0.0	0.0
vik_eastangla_civ_army_3	vik_eastangla_civ_army_2	0	2	4	0.0	0.0
vik_eastangla_civ_army_4	vik_eastangla_civ_army_3	0	2	4	0.0	0.0
vik_eastangla_civ_army_5	vik_eastangla_civ_army_4	0	2	4	0.0	0.0
vik_eastangla_civ_army_6	vik_eastangla_civ_army_5	0	2	4	0.0	0.0
vik_eastangla_civ_farm_2	vik_eastangla_civ_farm_1	0	2	4	0.0	0.0
vik_eastangla_civ_farm_3	vik_eastangla_civ_farm_2	0	2	4	0.0	0.0
vik_eastangla_civ_farm_4	vik_eastangla_civ_farm_3	0	2	4	0.0	0.0
vik_eastangla_civ_farm_5	vik_eastangla_civ_farm_4	0	2	4	0.0	0.0
vik_eastangla_civ_farm_6	vik_eastangla_civ_farm_5	0	2	4	0.0	0.0
vik_eastangla_civ_industry_2	vik_eastangla_civ_industry_1	0	2	4	0.0	0.0
vik_eastangla_civ_industry_3	vik_eastangla_civ_industry_2	0	2	4	0.0	0.0
vik_eastangla_civ_industry_4	vik_eastangla_civ_industry_3	0	2	4	0.0	0.0
vik_eastangla_civ_industry_5	vik_eastangla_civ_industry_4	0	2	4	0.0	0.0
vik_eastangla_civ_industry_6	vik_eastangla_civ_industry_5	0	2	4	0.0	0.0
vik_eastangla_civ_leader_2	vik_eastangla_civ_leader_1	0	2	4	0.0	0.0
vik_eastangla_civ_leader_3	vik_eastangla_civ_leader_2	0	2	4	0.0	0.0
vik_eastangla_civ_leader_4	vik_eastangla_civ_leader_3	0	2	4	0.0	0.0
vik_eastangla_civ_leader_5	vik_eastangla_civ_leader_4	0	2	4	0.0	0.0
vik_eastangla_civ_leader_6	vik_eastangla_civ_leader_5	0	2	4	0.0	0.0
vik_eastangla_civ_market_2	vik_eastangla_civ_market_1	0	2	4	0.0	0.0
vik_eastangla_civ_market_3	vik_eastangla_civ_market_2	0	2	4	0.0	0.0
vik_eastangla_civ_market_4	vik_eastangla_civ_market_3	0	2	4	0.0	0.0
vik_eastangla_civ_market_5	vik_eastangla_civ_market_4	0	2	4	0.0	0.0
vik_eastangla_civ_market_6	vik_eastangla_civ_market_5	0	2	4	0.0	0.0
vik_eastangla_civ_religion_2	vik_eastangla_civ_religion_1	0	2	4	0.0	0.0
