key	maximum_value	minimum_value
#loyalty_factors_tables;0;db/loyalty_factors_tables/loyalty_factors		
adoption	10	-10
bonus_values	0	0
bonus_values_character	10	-10
bonus_values_faction	10	-10
bonus_values_fame	10	-10
bribed	0	-3
changed_office	0	0
civil_war	10	-10
civil_war_battles	0	0
daimyo_honour	0	0
destroyed_clan	0	0
difficulty	10	-10
epic_failure	0	-2
estate_aversion_agricultural	0	-10
estate_aversion_holdings	0	-10
estate_aversion_religious	0	-10
estate_desire_agricultural	0	-10
estate_desire_any	0	-10
estate_desire_holdings	0	-10
estate_desire_more_estates_than_lower_gravitas_characters	0	-10
estate_desire_more_estates_than_lower_level_characters	0	-10
estate_desire_more_than_everybody_but_faction_leader	0	-10
estate_desire_more_than_faction_leader	0	-10
estate_desire_more_than_generals_and_governors	0	-10
estate_desire_religious	0	-10
estate_desires_less_estates_than_faction_leader	0	-10
estate_desires_more_estates_than_younger_characters	0	-10
estate_desires_more_than_lower_authority_characters	0	-10
estate_desires_more_than_lower_subterfuge_characters	0	-10
estate_desires_no_estates	0	-10
estate_owner_agricultural	10	0
estate_owner_holdings	10	0
estate_owner_religious	10	0
estates_low	0	-10
ex_governor	0	0
extraordinary_success	10	0
family_failure	0	0
family_success	0	0
followers	10	0
governor	10	0
granted_office	1	0
greater_than_his_lord	10	-10
heir	10	-10
influence	10	-10
lost_office_shortly_after_being_granted_it	10	-10
lower_level_character_granted_office	0	0
married_daughter	1	0
metsuke	0	0
non_family_general	0	0
payload	10	-10
personal_loyalty	10	1
politics	10	-10
removed_from_office	10	-10
spouse	10	-10
traits	10	-10
upstart_generals	10	-10
upstart_sons	10	-10
