id	mission_key	option_key	value
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/sw_faction_mechanics			
33011	sw_heroism_vik_fact_aileach	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_aileach
33012	sw_heroism_vik_fact_airer_goidel	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_airer_goidel
33013	sw_heroism_vik_fact_airgialla	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_airgialla
33014	sw_heroism_vik_fact_athfochla	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_athfochla
33015	sw_heroism_vik_fact_bedeborg	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_bedeborg
33016	sw_heroism_vik_fact_brechinauc	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_brechinauc
33017	sw_heroism_vik_fact_brega	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_brega
33018	sw_heroism_vik_fact_breifne	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_breifne
33019	sw_heroism_vik_fact_caisil	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_caisil
33020	sw_heroism_vik_fact_cent	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_cent
33021	sw_heroism_vik_fact_cerneu	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_cerneu
33022	sw_heroism_vik_fact_circenn	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_circenn
33023	sw_heroism_vik_fact_connacht	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_connacht
33024	sw_heroism_vik_fact_defena	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_defena
33025	sw_heroism_vik_fact_dene	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_dene
33026	sw_heroism_vik_fact_desmuma	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_desmuma
33027	sw_heroism_vik_fact_djurby	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_djurby
33028	sw_heroism_vik_fact_dorsaete	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_dorsaete
33029	sw_heroism_vik_fact_dubgaill	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_dubgaill
33030	sw_heroism_vik_fact_dyfet	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_dyfet
33031	sw_heroism_vik_fact_dyflin	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_dyflin
33032	sw_heroism_vik_fact_east_engle	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_east_engle
33033	sw_heroism_vik_fact_east_seaxe	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_east_seaxe
33034	sw_heroism_vik_fact_finngaill	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_finngaill
33035	sw_heroism_vik_fact_fortriu	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_fortriu
33036	sw_heroism_vik_fact_gallgoidel	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_gallgoidel
33037	sw_heroism_vik_fact_gliwissig	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_gliwissig
33038	sw_heroism_vik_fact_grantebru	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_grantebru
33039	sw_heroism_vik_fact_gwent	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_gwent
33040	sw_heroism_vik_fact_gwined	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_gwined
33041	sw_heroism_vik_fact_haeden	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_haeden
