payload_key	effect_bundle_key
#cdir_events_payloads_tables;0;db/cdir_events_payloads_tables/sw_pop_update_new_event_payloads	
sw_merchant_military_1	sw_merchant_military_1
sw_rebellion_tyrannical_1	sw_rebellion_tyrannical_1
sw_training_ranged_weapons_1	sw_training_ranged_weapons_1
sw_merchant_military_2	sw_merchant_military_2
sw_rebellion_rioting_household_guard_2	sw_rebellion_rioting_household_guard_2
sw_rebellion_oppressor_2	sw_rebellion_oppressor_2
sw_rebellion_oppressor_1	sw_rebellion_oppressor_1
sw_rebellion_rioting_household_guard_1	sw_rebellion_rioting_household_guard_1
sw_deny_toolmakers_1	sw_deny_toolmakers_1
sw_deny_toolmakers_2	sw_deny_toolmakers_2
sw_employ_toolmakers_1	sw_employ_toolmakers_1
sw_employ_toolmakers_2	sw_employ_toolmakers_2
sw_freyr_1	sw_freyr_1
sw_freyr_2	sw_freyr_2
sw_freyr_3	sw_freyr_3
sw_freyr_4	sw_freyr_4
sw_merchant_slaves_1	sw_merchant_slaves_1
sw_rebellion_henchmen_2	sw_rebellion_henchmen_2
sw_rebellion_tyrannical_2	sw_rebellion_tyrannical_2
sw_rebellion_henchmen_1	sw_rebellion_henchmen_1
sw_training_ranged_weapons_2	sw_training_ranged_weapons_2
sw_training_fighters_1	sw_training_fighters_1
sw_region_defection_surrender_1	sw_region_defection_surrender_1
sw_training_forge_1	sw_training_forge_1
sw_training_forge_2	sw_training_forge_2
sw_merchant_tools_2	sw_merchant_tools_2
sw_merchant_pottery	sw_merchant_pottery
sw_merchant_textiles	sw_merchant_textiles
sw_merchant_tools_1	sw_merchant_tools_1
sw_merchant_slaves_2	sw_merchant_slaves_2
sw_odin_1	sw_odin_1
sw_odin_2	sw_odin_2
sw_odin_3	sw_odin_3
sw_odin_4	sw_odin_4
sw_merchant_crafts_1	sw_merchant_crafts_1
sw_rebellion_bandits	sw_rebellion_bandits
sw_rebellion_corruption	sw_rebellion_corruption
sw_rebellion_food_stores	sw_rebellion_food_stores
sw_rebellion_lost_clergy	sw_rebellion_lost_clergy
sw_rebellion_lost_nobles	sw_rebellion_lost_nobles
sw_training_hunters_2	sw_training_hunters_2
sw_rebellion_soldiers_arrive_2	sw_rebellion_soldiers_arrive_2
sw_skadi_1	sw_skadi_1
sw_skadi_2	sw_skadi_2
sw_skadi_3	sw_skadi_3
sw_skadi_4	sw_skadi_4
sw_rebellion_soldiers_arrive_1	sw_rebellion_soldiers_arrive_1
sw_slave_rebellion_bandits_1	sw_slave_rebellion_bandits_1
sw_training_hunters_1	sw_training_hunters_1
sw_merchant_candles_1	sw_merchant_candles_1
sw_supply	sw_supply
sw_merchant_crafts_2	sw_merchant_crafts_2
sw_thor_1	sw_thor_1
sw_thor_2	sw_thor_2
sw_thor_3	sw_thor_3
sw_thor_4	sw_thor_4
sw_training_fighters_2	sw_training_fighters_2
