id	mission_key	payload_key	status_key	value
#cdir_events_mission_payloads_tables;1;db/cdir_events_mission_payloads_tables/sw_faction_mechanics				
33011	sw_heroism_vik_fact_aileach	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33012	sw_heroism_vik_fact_airer_goidel	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33013	sw_heroism_vik_fact_airgialla	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33014	sw_heroism_vik_fact_athfochla	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33015	sw_heroism_vik_fact_bedeborg	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33016	sw_heroism_vik_fact_brechinauc	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33017	sw_heroism_vik_fact_brega	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33018	sw_heroism_vik_fact_breifne	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33019	sw_heroism_vik_fact_caisil	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33020	sw_heroism_vik_fact_cent	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33021	sw_heroism_vik_fact_cerneu	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33022	sw_heroism_vik_fact_circenn	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33023	sw_heroism_vik_fact_connacht	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33024	sw_heroism_vik_fact_defena	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33025	sw_heroism_vik_fact_dene	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33026	sw_heroism_vik_fact_desmuma	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33027	sw_heroism_vik_fact_djurby	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33028	sw_heroism_vik_fact_dorsaete	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33029	sw_heroism_vik_fact_dubgaill	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33030	sw_heroism_vik_fact_dyfet	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33031	sw_heroism_vik_fact_dyflin	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33032	sw_heroism_vik_fact_east_engle	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33033	sw_heroism_vik_fact_east_seaxe	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
33034	sw_heroism_vik_fact_finngaill	TEXT_DISPLAY	SUCCESS	LOOKUP[heroism_10]
