unit_key	technology_key
#unit_required_technology_junctions_tables;0;db/unit_required_technology_junctions_tables/unit_required_technology_junctions	
dan_anglian_marauders	vik_mil_cap_1
eng_mailed_thegns	vik_mil_cap_1
vik_jomsvikings	vik_mil_cap_1
dan_shield_biters	vik_mil_cap_2
est_axe_warriors	vik_mil_cap_2
dan_mailed_horsemen	vik_mil_cap_2
dan_berserkers	vik_mil_cap_4
eng_thegn_horsemen	vik_mil_cavalry_1
eng_mailed_horsemen	vik_mil_cavalry_1
dan_scout_horsemen	vik_mil_cavalry_1
eng_north_horsemen	vik_mil_cavalry_1
wel_horsemen	vik_mil_cavalry_1
iri_horse_boys	vik_mil_cavalry_1
sco_mormaer_horsemen	vik_mil_cavalry_1
est_scouts	vik_mil_cavalry_1
wel_uchelwr	vik_mil_cavalry_3
eng_earls_horsemen	vik_mil_cavalry_3
dan_jarls_horsemen	vik_mil_cavalry_3
iri_airig_mailed_horsemen	vik_mil_cavalry_3
est_raiders	vik_mil_cavalry_3
est_champions	vik_mil_cavalry_3
iri_airig_horsemen	vik_mil_cavalry_4
est_royal_huskarls	vik_mil_cavalry_5
iri_household_riders	vik_mil_cavalry_5
eng_royal_bodyguard	vik_mil_cavalry_5
dan_royal_huscarls	vik_mil_cavalry_5
wel_royal_teulu	vik_mil_cavalry_5
sco_royal_bodyguard	vik_mil_cavalry_5
dan_huscarls	vik_mil_cavalry_6
eng_royal_huscarles	vik_mil_cavalry_6
dan_royal_spearmen	vik_mil_cavalry_6
est_hirdmen	vik_mil_cavalry_6
iri_airig_warband	vik_mil_cavalry_6
sco_sword_warriors	vik_mil_cavalry_6
eng_thegn_spearmen	vik_mil_cavalry_6
eng_fyrd_spearmen	vik_mil_land_1
eng_fyrd_axemen	vik_mil_land_2
est_norse_hersir	vik_mil_land_2
wel_swordsmen	vik_mil_land_2
iri_kern_axemen	vik_mil_land_2
sco_sword_band	vik_mil_land_2
est_spearband	vik_mil_land_7
est_axemen	vik_mil_melee_1
dan_sword_hersir	vik_mil_melee_1
eng_select_fyrd_spearmen	vik_mil_melee_2a
eng_marcher_spearmen	vik_mil_melee_2a
dan_spearmen	vik_mil_melee_2a
eng_north_spearmen	vik_mil_melee_2a
wel_spearmen	vik_mil_melee_2a
iri_kern_spearmen	vik_mil_melee_2a
sco_alban_spearmen	vik_mil_melee_2a
est_spear_guard	vik_mil_melee_2a
eng_seax_warriors	vik_mil_melee_4b
est_long_axes	vik_mil_melee_4b
eng_royal_thegns	vik_mil_melee_5
dan_mailed_swordsmen	vik_mil_melee_5
eng_earls_spearmen	vik_mil_melee_5
eng_north_champion	vik_mil_melee_5
iri_mailed_fianna	vik_mil_melee_5
sco_alban_warriors	vik_mil_melee_5
est_norse_mailed_hersir	vik_mil_melee_5
est_shield_biters	vik_mil_melee_5
wel_old_north_uchelwr	vik_mil_melee_5
wel_hunters	vik_mil_melee_5
dan_axemen	vik_mil_melee_6
wel_armoured_swordsmen	vik_mil_melee_6
iri_fianna_band	vik_mil_melee_6
sco_schiltron	vik_mil_melee_6
eng_fyrd_javelinmen	vik_mil_missile_1
iri_kern_raiders	vik_mil_missile_1
dan_javelinmen	vik_mil_missile_1
eng_north_javelinmen	vik_mil_missile_1
wel_helwyr	vik_mil_missile_1
sco_alban_crossbowmen	vik_mil_missile_1
est_archers	vik_mil_missile_1
eng_fyrd_archers	vik_mil_missile_2
dan_archers	vik_mil_missile_2
wel_helwyr	vik_mil_missile_2
iri_kerns	vik_mil_missile_2
sco_highland_archers	vik_mil_missile_2
est_kerns	vik_mil_missile_2
wel_longbowmen	vik_mil_missile_4
eng_select_fyrd_archers	vik_mil_missile_4
eng_militia_fyrd_archers	vik_mil_missile_4
eng_north_hunters	vik_mil_missile_4
iri_wood_kerns	vik_mil_missile_4
sco_lowland_crossbowmen	vik_mil_missile_4
vik_mailed_archers	vik_mil_missile_4
eng_catapult	vik_mil_siege_5
dan_catapult	vik_mil_siege_5
wel_catapult	vik_mil_siege_5
iri_catapult	vik_mil_siege_5
sco_catapult	vik_mil_siege_5
est_catapult	vik_mil_siege_5
est_spear_hirdmen	vik_mil_spearmen_1
dan_northumbrian_mailed_thegns	vik_mil_spearmen_2
dan_jarls_huscarls	vik_mil_spearmen_2
wel_axemen	vik_mil_spearmen_3
iri_spear_raiders	vik_mil_spearmen_3
sco_cateran_axemen	vik_mil_spearmen_3
dan_northumbrian_thegns	vik_mil_spearmen_3
wel_teulu_spear_guard	vik_mil_spearmen_5
wel_mailed_swordsmen	vik_mil_spearmen_5
eng_marcher_armoured_spearmen	vik_mil_spearmen_5
