key	value
#_kv_morale_tables;0;db/_kv_morale_tables/_kv_morale	
army_destruction_alliance_strength_ratio	0.3
army_destruction_enemy_strength_ratio	1.4
army_destruction_friend_strength_vs_enemy_strength_ratio	1.5
artillery_near_miss_distance_squared	144.0
blood_bonus_12	0.0
blood_bonus_5	0.0
blood_bonus_7	0.0
broken_finish_base_timeout	300.0
broken_finish_timer_experience_bonus	10.0
cavalry_effect_range	20.0
charge_bonus	5.0
charge_timeout	80.0
commanding_general_alive_effect_amount_max	6.0
commanding_general_alive_effect_amount_min	1.0
defender_outnumbered_battle_time_remaining	10.0
defender_outnumbered_default_battle_duration	60.0
defender_outnumbered_morale_increment	1.0
defender_outnumbered_update_time_seconds	3.0
defensive_fort	0.0
difficulty_modifier_ai_easy	0.0
difficulty_modifier_ai_hard	6.0
difficulty_modifier_ai_normal	3.0
difficulty_modifier_ai_very_hard	9.0
difficulty_modifier_player_easy	0.0
difficulty_modifier_player_hard	0.0
difficulty_modifier_player_normal	0.0
difficulty_modifier_player_very_hard	0.0
enemy_controls_land_default_battle_duration	60.0
enemy_controls_land_defender_land_force_strength_modifier	100.0
enemy_controls_land_morale_increment	2.0
enemy_controls_land_rout_remaining_time	13.0
enemy_controls_land_rout_update_time	1.0
enemy_controls_land_wavering_remaining_time	15.0
enemy_controls_land_wavering_update_time	120.0
enemy_effect_range	0.0
extended_casualties_penalty_10	-2.0
extended_casualties_penalty_15	-3.0
extended_casualties_penalty_33	-4.0
extended_casualties_penalty_50	-8.0
extended_casualties_penalty_80	-15.0
fear_effect_range	25.0
fighting_cavalry	-4.0
general_aura_radius	25.0
general_inspire_effect_amount_max	9.0
general_inspire_effect_amount_min	3.0
inspiration_radius_max_effect_range_modifier	1.5
losing_combat	-1.0
losing_combat_significantly	-2.0
max_routing_enemies_to_consider	8.0
max_routing_friends_to_consider	6.0
minimium_increment_update_per_tick	1.0
morale_base	0.0
neighbour_effect_range	160.0
open_flanks_effect_range	100.0
percent_update_per_tick	0.15
post_rally_no_rout_timer	30.0
recent_casualties_penalty_10	0.0
recent_casualties_penalty_15	0.0
recent_casualties_penalty_33	0.0
recent_casualties_penalty_50	0.0
recent_casualties_penalty_6	0.0
recent_casualties_shock_threshold	100.0
routing_enemies_effect_weighting	2.0
routing_friends_effect_weighting	1.0
routing_unit_effect_distance_flank	100.0
routing_unit_effect_distance_front	75.0
shatter_after_first_rout_if_casulties_higher_than	0.2
shatter_after_rout_count	5.0
shatter_after_second_rout_if_casulties_higher_than	0.2
surprise_timeout	200.0
total_casualties_penalty_10	-1.0
total_casualties_penalty_20	-2.0
total_casualties_penalty_30	-3.0
total_casualties_penalty_40	-5.0
total_casualties_penalty_50	-6.0
total_casualties_penalty_60	-8.0
total_casualties_penalty_70	-12.0
total_casualties_penalty_80	-30.0
total_casualties_penalty_90	-30.0
ume_concerned_army_destruction	-8.0
ume_concerned_attacked_by_artillery	-1.0
ume_concerned_attacked_by_projectile	-1.0
ume_concerned_captain_died_recently	-1.0
ume_concerned_damaged_by_artillery	-2.0
ume_concerned_elephants_frightened	-3.0
ume_concerned_exhausted	-4.0
ume_concerned_flanks_exposed_multiple	-4.0
ume_concerned_flanks_exposed_single	-2.0
ume_concerned_general_dead	-6.0
ume_concerned_general_dead_ai	-6.0
ume_concerned_general_died_recently	-6.0
ume_concerned_general_died_recently_ai	-6.0
ume_concerned_general_fled_recently	-6.0
ume_concerned_general_fled_recently_ai	-6.0
ume_concerned_horses_frightened	-3.0
ume_concerned_night_battle_unprepared	0.0
ume_concerned_panic	0.0
ume_concerned_settlement_destruction_max	18.0
ume_concerned_surprised	-4.0
ume_concerned_tired	-1.0
ume_concerned_under_friendly_fire	-2.0
ume_concerned_unit_frightened	-6.0
ume_concerned_very_tired	-2.0
ume_encouraged_flanks_secure	4.0
ume_encouraged_fortification	0.0
ume_encouraged_fortification_compromised	0.0
ume_encouraged_inspired	0.0
ume_encouraged_on_the_hill	0.0
ume_encouraged_settlement_plaza	3.0
ums_broken_threshold_lower	-30.0
ums_broken_threshold_upper	-2.0
ums_confident_threshold_lower	0.65
ums_confident_threshold_upper	1.0
ums_eager_threshold_lower	0.9
ums_eager_threshold_upper	1.1
ums_impetuous_threshold_lower	1.1
ums_shaken_threshold_lower	2.0
ums_shaken_threshold_upper	7.0
ums_steady_threshold_lower	7.0
ums_steady_threshold_upper	0.65
ums_wavering_threshold_lower	-2.0
ums_wavering_threshold_upper	5.0
unit_inspire_effect_amount	3.0
warcry_effect_range	225.0
was_attacked_in_flank	-2.0
was_attacked_in_front	2.0
was_attacked_in_rear	-6.0
waver_base_timeout	40.0
winning_combat	4.0
winning_combat_significantly	6.0
winning_combat_slightly	2.0
