key	generate	ui_icon	ui_image	prioritised	event_category
#incidents_tables;4;db/incidents_tables/new_decree_incidents					
sw_decree_wessex_fyrd	false	message_generic_news.png	vik_event_messenger_sent	true	political_action_outcome
sw_decree_wessex_scholarship	false	message_generic_news.png	vik_event_messenger_sent	true	political_action_outcome
sw_decree_wessex_ad_hoc_levy	false	message_generic_news.png	vik_event_messenger_sent	true	political_action_outcome
sw_decree_wessex_witan	false	message_generic_news.png	vik_event_messenger_sent	true	political_action_outcome
sw_decree_northleode_bebbanburg	false	message_generic_news.png	vik_event_messenger_sent	true	political_action_outcome
sw_decree_northleode_dun_foither	false	message_generic_news.png	vik_event_messenger_sent	true	political_action_outcome
sw_decree_northleode_tamworthige	false	message_generic_news.png	vik_event_messenger_sent	true	political_action_outcome
sw_decree_northleode_eoferwic	false	message_generic_news.png	vik_event_messenger_sent	true	political_action_outcome
sw_decree_mierce_lords	false	message_generic_news.png	vik_event_messenger_sent	true	political_action_outcome
sw_decree_mierce_pay_hoards	false	message_generic_news.png	vik_event_treasury	true	political_action_outcome
sw_decree_mierce_warriors	false	message_generic_news.png	vik_event_messenger_sent	true	political_action_outcome
sw_decree_mierce_church	false	message_generic_news.png	vik_event_messenger_sent	true	political_action_outcome
sw_decree_gwined_song_of_mead	false	message_generic_news.png	vik_event_population_positive	true	political_action_outcome
sw_decree_gwined_song_of_horses	false	message_generic_news.png	vik_event_population_positive	true	political_action_outcome
sw_decree_gwined_song_of_pendragon	false	message_generic_news.png	vik_event_population_positive	true	political_action_outcome
sw_decree_gwined_song_of_thousand_sons	false	message_generic_news.png	vik_event_population_positive	true	political_action_outcome
