key	armour_penetrating	armour_piercing	bonus_v_cavalry	bonus_v_elephants	bonus_v_infantry	damage	ap_damage	first_strike	shield_piercing	weapon_length	melee_weapon_type	audio_material	building_damage
#melee_weapons_tables;7;db/melee_weapons_tables/sw_melee_weapons													
vik_axe	false	false	0	0	0	7	15	0	false	1.0	axe	axe	0.5
vik_axe_elite	false	false	0	0	0	9	15	0	false	1.0	axe	axe	0.5
vik_axe_levy	false	false	0	0	0	5	15	0	false	1.0	axe	axe	0.5
vik_dagger	false	false	0	0	0	15	1	0	false	1.0	knife	sword	0.5
vik_dane_axe	false	false	8	0	0	7	18	0	false	1.0	axe	axe	0.5
vik_dane_axe_elite	false	false	8	0	0	9	22	0	false	1.0	axe	axe	0.5
vik_dane_axe_levy	false	false	0	0	0	7	18	0	false	1.0	axe	axe	0.5
vik_seax	false	false	0	0	1	15	2	0	false	1.0	sword	sword	0.5
vik_seax_elite	false	false	0	0	2	15	4	0	false	1.0	sword	sword	0.5
vik_spear	false	false	12	0	0	5	12	0	false	1.0	spear	spear	0.5
vik_spear_cav	false	false	8	0	0	5	12	0	false	1.0	spear	spear	0.5
vik_spear_cav_elite	false	false	16	0	0	7	10	0	false	1.0	spear	spear	0.5
vik_spear_cav_levy	false	false	10	0	0	5	10	0	false	1.0	spear	spear	0.5
vik_spear_elite	false	false	20	0	0	5	10	0	false	1.0	spear	spear	0.5
vik_spear_levy	false	false	10	0	0	4	10	0	false	1.0	spear	spear	0.5
vik_sword	false	false	0	0	3	14	6	0	false	1.0	sword	sword_long	0.5
vik_sword_elite	false	false	0	0	4	19	8	0	false	1.0	sword	sword_long	0.5
vik_sword_levy	false	false	0	0	2	21	4	0	false	1.0	sword	sword_long	0.5
shield_seaxe	false	false	0	0	0	13	1	0	false	1.0	sword	sword	0.5
shield_sword_weak	false	false	0	0	4	6	0	0	false	1.0	sword	sword_long	0.5
shield_sword_medium	false	false	0	0	5	11	0	0	false	1.0	sword	sword_long	0.5
shield_sword_strong	false	false	0	0	6	14	2	0	false	1.0	sword	sword_long	0.5
shield_sword_champion	false	false	0	0	7	15	4	0	false	1.0	sword	sword_long	0.5
shield_beserker_weapon	false	false	0	0	4	16	4	0	false	1.0	sword	sword_long	0.5
shield_wolfskin_weapon	false	false	0	0	4	12	8	0	false	1.0	axe	axe	0.5
shield_spear_levy	false	false	9	0	0	1	7	0	false	3.0	axe	axe	0.5
shield_spear_strong	false	false	12	0	0	1	12	0	false	3.0	spear	spear	0.5
shield_spear_short	false	false	6	0	0	1	12	0	false	2.0	spear	spear	0.5
shield_spear_long	false	false	9	0	8	1	6	0	false	4.0	spear	spear	0.5
shield_spear_champion	false	false	15	0	0	1	16	0	false	3.0	spear	spear	0.5
shield_axe_weak	false	false	0	0	0	3	8	0	false	1.0	axe	axe	0.5
shield_axe_medium	false	false	0	0	0	5	9	0	false	1.0	axe	axe	0.5
shield_axe_strong	false	false	0	0	0	5	13	0	false	1.0	axe	axe	0.5
shield_axe_champion	false	false	0	0	0	7	15	0	false	1.0	axe	axe	0.5
shield_dane_axe_medium	false	false	6	0	4	2	8	0	false	2.0	axe	axe	0.5
shield_dane_axe_strong	false	false	6	0	5	3	9	0	false	2.0	axe	axe	0.5
shield_dane_axe_champion	false	false	6	0	6	4	14	0	false	2.0	axe	axe	0.5
shield_cavalry_spear	false	false	2	0	0	6	2	0	false	1.0	spear	spear	0.5
shield_lance	false	false	3	0	0	9	4	0	false	1.0	spear	spear	0.5
shield_lance_continental	false	false	3	0	5	7	12	0	false	1.0	spear	spear	0.5
shield_lance_champion	false	false	3	0	0	12	7	0	false	1.0	spear	spear	0.5
shield_dagger	false	false	0	0	2	5	0	0	false	1.0	knife	sword	0.5
shield_club	false	false	0	0	0	1	7	0	false	1.0	axe	axe	0.5
shield_bernician_spear	false	false	0	0	2	12	2	0	false	1.0	spear	spear	0.5
