key	texture_directory	building_category
#warscape_rigid_tables;2;db/warscape_rigid_tables/sw_warscape_rigid		
projectiles_javelin_leaf_01	VariantMeshes/_VariantModels/man/weapons/tex	battle_projectile
projectiles_javelin_leaf_02	VariantMeshes/_VariantModels/man/weapons/tex	battle_projectile
projectiles_javelin_leaf_03	VariantMeshes/_VariantModels/man/weapons/tex	battle_projectile
projectiles_javelin_tip_01	VariantMeshes/_VariantModels/man/weapons/tex	battle_projectile
projectiles_javelin_tip_02	VariantMeshes/_VariantModels/man/weapons/tex	battle_projectile
projectiles_javelin_tip_03	VariantMeshes/_VariantModels/man/weapons/tex	battle_projectile
projectiles_javelin_wood_01	VariantMeshes/_VariantModels/man/weapons/tex	battle_projectile
projectiles_javelin_wood_02	VariantMeshes/_VariantModels/man/weapons/tex	battle_projectile
projectiles_javelin_wood_03	VariantMeshes/_VariantModels/man/weapons/tex	battle_projectile
projectiles_shi_dart_irish	VariantMeshes/_VariantModels/man/weapons/vik_spear_leaf_01/tex	battle_projectile
